"Exp_names","Iteration","Metric-name","avg","min","max","50th Percentile","75th percentile","90th percentile","95th percentile","96th percentile","97th percentile","98th percentile","99th percentile","99.99th percentile","99.999th percentile","Value-1","Value-2","Value-3","Value-4","Value-5","Value-6","Value-7","Value-8","Value-9","Value-10","Value-11","Value-12","Value-13","Value-14","Value-15","Value-16","Value-17","Value-18","Value-19","Value-20","Value-21","Value-22","Value-23","Value-24","Value-25","timestamp-1","timestamp-2","timestamp-3","timestamp-4","timestamp-5","timestamp-6","timestamp-7","timestamp-8","timestamp-9","timestamp-10","timestamp-11","timestamp-12","timestamp-13","timestamp-14","timestamp-15","timestamp-16","timestamp-17","timestamp-18","timestamp-19","timestamp-20","timestamp-21","timestamp-22","timestamp-23","timestamp-24","timestamp-25"
"page-rank","ITR-0","cpu-measure",1.63332388952963,1.60523289523704,1.66141488382222,1.65680703683704,1.67505667337778,1.71663044997778,1.71749114049926,1.71770631312963,1.71770631312963,1.71770631312963,1.71770631312963,1.71770631312963,1.71770631312963,1.66141488382222,1.66141488382222,1.71770631312963,1.71770631312963,1.61220193641852,1.61220193641852,1.61220193641852,1.6150969979,1.6150969979,1.65680703683704,1.65680703683704,1.65680703683704,1.69252886996296,1.69252886996296,1.64541862154815,1.64541862154815,1.64541862154815,1.71663044997778,1.71663044997778,1.62861836637407,1.62861836637407,1.62861836637407,1.67505667337778,1.67505667337778,1.60523289523704,1661240715.905,1661240731.004,1661240746.146,1661240761.258,1661240776.395,1661240776.972,1661240792.09,1661240807.285,1661240822.415,1661240837.548,1661240838.005,1661240853.174,1661240868.305,1661240883.441,1661240898.549,1661240899.097,1661240914.253,1661240929.353,1661240944.473,1661240959.587,1661240960.17,1661240975.39,1661240990.48,1661241005.565,1661241020.724
"page-rank","ITR-0","mem-measure",722272256,266129408,1178415104,268582912,268722176,657554636.800001,916738048,927205130.24,990007623.68,1052810117.12,1115612610.56,1177787079.0656,1178352301.50656,266129408,266129408,266223616,266223616,266448896,266448896,266448896,268337152,268337152,268460032,268460032,268460032,268582912,268582912,268656640,268656640,268656640,268722176,268722176,268779520,268779520,268779520,916738048,916738048,1178415104,1661240715.886,1661240731.006,1661240746.145,1661240761.202,1661240776.273,1661240777.001,1661240792.167,1661240807.292,1661240822.437,1661240837.59,1661240838.018,1661240853.179,1661240868.28,1661240883.303,1661240898.388,1661240899.081,1661240914.202,1661240929.234,1661240944.338,1661240959.451,1661240960.176,1661240975.387,1661240990.485,1661241005.649,1661241020.732
"page-rank","ITR-0","memusage-measure",739100672,270221312,1207980032,272674816,272814080,674215526.400001,941780992,952428953.6,1016316723.2,1080204492.8,1144092262.4,1207341154.304,1207916144.2304,270221312,270221312,270315520,270315520,270540800,270540800,270540800,272429056,272429056,272551936,272551936,272551936,272674816,272674816,272748544,272748544,272748544,272814080,272814080,272867328,272867328,272867328,941780992,941780992,1207980032,1661240715.902,1661240731.042,1661240746.15,1661240761.264,1661240776.392,1661240776.987,1661240792.131,1661240807.291,1661240822.453,1661240837.59,1661240837.978,1661240853.005,1661240868.102,1661240883.155,1661240898.209,1661240899.087,1661240914.215,1661240929.321,1661240944.46,1661240959.537,1661240960.17,1661240975.374,1661240990.396,1661241005.642,1661241020.724
"page-rank","ITR-0","cnetreceivebytes-measure",14.5333333333334,11.4,17.6666666666667,20.5,30.8333333333333,40.1,41.22,41.5,41.5,41.5,41.5,41.5,41.5,11.4,11.4,38.6,38.6,10.1333333333333,10.1333333333333,10.1333333333333,40.1,40.1,9.13333333333333,9.13333333333333,9.13333333333333,41.5,41.5,9.96666666666667,9.96666666666667,9.96666666666667,30.8333333333333,30.8333333333333,20.5,20.5,20.5,29.2666666666667,29.2666666666667,17.6666666666667,1661240715.848,1661240730.956,1661240746.029,1661240761.095,1661240776.156,1661240776.994,1661240792.133,1661240807.286,1661240822.416,1661240837.452,1661240838.036,1661240853.167,1661240868.299,1661240883.422,1661240898.458,1661240899.091,1661240914.252,1661240929.344,1661240944.366,1661240959.471,1661240960.173,1661240975.41,1661240990.501,1661241005.63,1661241020.732
"page-rank","ITR-0","cnettransmitbytes-measure",7.85,6.6,9.1,10.3,17.2333333333333,21.2,22,22.2,22.2,22.2,22.2,22.2,22.2,6.6,6.6,19.6,19.6,5.56666666666667,5.56666666666667,5.56666666666667,21.2,21.2,3.86666666666667,3.86666666666667,3.86666666666667,22.2,22.2,3.63333333333333,3.63333333333333,3.63333333333333,17.2333333333333,17.2333333333333,10.3,10.3,10.3,15.2,15.2,9.1,1661240715.899,1661240731.005,1661240746.146,1661240761.256,1661240776.292,1661240776.997,1661240792.131,1661240807.298,1661240822.44,1661240837.587,1661240838.039,1661240853.153,1661240868.306,1661240883.436,1661240898.549,1661240899.078,1661240914.209,1661240929.363,1661240944.484,1661240959.578,1661240960.146,1661240975.233,1661240990.342,1661241005.386,1661241020.453
"page-rank","ITR-0","diskdetails-measure",4899908.26666667,278528,9521288.53333333,2184.53333333333,279620.266666667,16823910.4,906941945.173337,1129471453.86667,1129471453.86667,1129471453.86667,1129471453.86667,1129471453.86667,1129471453.86667,278528,278528,2184.53333333333,2184.53333333333,0,0,0,1129471453.86667,1129471453.86667,0,0,0,7099.73333333333,7099.73333333333,1365.33333333333,1365.33333333333,1365.33333333333,0,0,279620.266666667,279620.266666667,279620.266666667,16823910.4,16823910.4,9521288.53333333,1661240715.905,1661240731.002,1661240746.197,1661240761.286,1661240776.398,1661240776.998,1661240792.159,1661240807.297,1661240822.41,1661240837.552,1661240838.007,1661240853.158,1661240868.295,1661240883.428,1661240898.537,1661240899.087,1661240914.245,1661240929.364,1661240944.489,1661240959.587,1661240960.162,1661240975.39,1661240990.434,1661241005.597,1661241020.707
"page-rank","ITR-0","fsiototal-measure",1.47500000000001E-08,8.5666666666667E-09,2.09333333333334E-08,1.05666666666666E-08,1.39E-08,1.81866666666667E-08,4.70666666666665E-08,5.35999999999998E-08,5.35999999999998E-08,5.35999999999998E-08,5.35999999999998E-08,5.35999999999998E-08,5.35999999999998E-08,8.57E-09,8.57E-09,1.41E-08,1.41E-08,8.87E-09,8.87E-09,8.87E-09,1.39E-08,1.39E-08,8.50E-09,8.50E-09,8.50E-09,1.06E-08,1.06E-08,8.43E-09,8.43E-09,8.43E-09,1.11E-08,1.11E-08,1.18E-08,1.18E-08,1.18E-08,5.36E-08,5.36E-08,2.09E-08,1661240715.903,1661240731.02,1661240746.144,1661240761.233,1661240776.291,1661240776.994,1661240792.132,1661240807.29,1661240822.448,1661240837.577,1661240838.012,1661240853.156,1661240868.284,1661240883.441,1661240898.544,1661240899.077,1661240914.228,1661240929.336,1661240944.454,1661240959.48,1661240960.173,1661240975.408,1661240990.502,1661241005.648,1661241020.72
"page-rank","ITR-0","fsreadtotal-measure",1.45000000000002E-09,0,2.90000000000003E-09,0,3.6666666666668E-10,2.32666666666666E-09,1.53533333333334E-08,1.84666666666667E-08,1.84666666666667E-08,1.84666666666667E-08,1.84666666666667E-08,1.84666666666667E-08,1.84666666666667E-08,0,0,3.67E-10,3.67E-10,2.33E-10,2.33E-10,2.33E-10,0,0,0,0,0,0,0,0,0,0,1.47E-09,1.47E-09,0,0,0,1.85E-08,1.85E-08,2.90E-09,1661240715.904,1661240731.04,1661240746.198,1661240761.304,1661240776.402,1661240776.963,1661240792.004,1661240807.216,1661240822.286,1661240837.414,1661240838.02,1661240853.173,1661240868.294,1661240883.423,1661240898.458,1661240899.091,1661240914.2,1661240929.238,1661240944.302,1661240959.351,1661240960.152,1661240975.374,1661240990.398,1661241005.533,1661241020.601
"page-rank","ITR-0","fswritetotal-measure",7.06833333333336E-08,1.80000000000002E-08,1.23366666666667E-07,2.74E-08,2.87333333333335E-08,6.99466666666667E-08,8.49333333333335E-08,8.64706666666668E-08,9.56946666666669E-08,1.04918666666667E-07,1.14142666666667E-07,1.23274426666667E-07,1.23357442666667E-07,1.80E-08,1.80E-08,2.87E-08,2.87E-08,4.75E-08,4.75E-08,4.75E-08,2.74E-08,2.74E-08,1.94E-08,1.94E-08,1.94E-08,2.31E-08,2.31E-08,1.34E-08,1.34E-08,1.34E-08,1.15E-08,1.15E-08,2.76E-08,2.76E-08,2.76E-08,8.49E-08,8.49E-08,1.23E-07,1661240715.911,1661240731.046,1661240746.18,1661240761.279,1661240776.377,1661240777,1661240792.153,1661240807.299,1661240822.448,1661240837.59,1661240837.987,1661240853.038,1661240868.14,1661240883.199,1661240898.252,1661240899.098,1661240914.247,1661240929.359,1661240944.482,1661240959.584,1661240960.162,1661240975.401,1661240990.493,1661241005.66,1661241020.72
"page-rank","ITR-0","netreceivebytes-measure",1083.01666666667,851.6,1314.43333333333,1431.46666666667,2591.7,3191.3,3281.7,3304.3,3304.3,3304.3,3304.3,3304.3,3304.3,851.6,851.6,3046.36666666667,3046.36666666667,758.566666666667,758.566666666667,758.566666666667,3191.3,3191.3,614.1,614.1,614.1,3304.3,3304.3,593.6,593.6,593.6,2591.7,2591.7,1431.46666666667,1431.46666666667,1431.46666666667,2373.73333333333,2373.73333333333,1314.43333333333,1661240715.762,1661240730.898,1661240746.026,1661240761.082,1661240776.143,1661240776.993,1661240792.166,1661240807.298,1661240822.431,1661240837.534,1661240838.001,1661240853.159,1661240868.289,1661240883.43,1661240898.547,1661240899.087,1661240914.236,1661240929.347,1661240944.485,1661240959.587,1661240960.155,1661240975.403,1661240990.441,1661241005.629,1661241020.65
