Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,StackTraceInThrowable,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
8,3.8,2619,G1GC,404,23,169,7290,6.8,8,2505,152,7,13,6,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1,520.367,1431.33,1091.54,2.25666,1.96802937565185,2.55366823985185,1067,1112,0,3.94074,3.8,2619.0M,3.8,2619.0M,0
4,2.8,711,G1GC,369,16,42,1970,9.7,5,840,212,14,6,4,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,407.25,1904.17,592.754,1.70759,1.46755885267037,1.98654662337778,565,615,0,3.95532,2.8,711.0M,2.8,711.0M,0
9,2.2,2614,SerialGC,475,19,190,8980,4.4,6,885,127,2,23,3,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,367.383,2136.83,629.281,1.33118,1.1684553983037,1.49407441726296,621,634,0,3.67922,2.2,2614.0M,2.2,2614.0M,0
48,2.1,3565,ShenandoahGC,471,9,111,5390,5.2,7,2485,69,12,41,2,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,320.383,2496.5,1175.74,1.29977,1.14302558887778,1.5001736514598,1133,1268,0,3.47597,2.1,3565.0M,2.1,3565.0M,0
1,2.8,1740,G1GC,406,29,114,3350,7.6,4,1265,229,0,5,2,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,251.733,3242.5,683.056,1.74336,1.52786903417778,1.96368964457407,559,729,0,3.88509,2.8,1740.0M,2.8,1740.0M,0
37,1.6,2912,SerialGC,333,18,114,6360,11.4,5,1800,154,4,8,2,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,189.517,4322.83,549.842,1.01777,0.874715564744444,1.15127741344444,531,564,0,3.58841,1.6,2912.0M,1.6,2912.0M,0
34,1.2,4727,G1GC,357,15,176,3130,12,5,4745,35,5,22,6,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,161.75,5161.83,1410.93,0.804058,0.699730021918519,0.950304458922222,1329,1496,0,3.38392,1.2,4727.0M,1.2,4727.0M,0
26,1.7,4562,ZGC,427,20,91,1660,12.6,6,4650,174,2,15,6,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,160.6,5176.5,280.565,1.07545,0.948367535603703,1.22195552414815,276,284,0,3.4395,1.7,4562.0M,1.7,4562.0M,0
76,1.1,2468,ShenandoahGC,434,23,77,3220,11.6,8,4345,91,16,17,7,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1,125.667,6678.83,962.833,0.765339,0.668112942362963,0.884919747533333,918,1031,0,3.40807,1.1,2468.0M,1.1,2468.0M,0
5,1.4,4382,ZGC,397,35,120,4790,10.2,5,3340,174,5,45,5,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,123.033,6806,279.53,0.912358,0.819599630755556,1.02463315387037,276,283,0,3.48241,1.4,4382.0M,1.4,4382.0M,0
87,1,4903,ParallelGC,450,11,117,5560,10.3,6,4985,87,5,41,6,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,119.333,6980.33,654.746,0.700589,0.629403848433333,0.802895899351852,618,715,0,3.29627,1,4903.0M,1,4903.0M,0
39,1,1240,ParallelGC,351,22,13,4950,12.8,6,3665,92,8,14,3,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,109.133,7607.17,608.57,0.71183,0.655855674459259,0.797660398662963,542,684,0,3.36819,1,1240.0M,1,1240.0M,0
