Trial,cpu_request,mem_request,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
32,3.8,3761.0M,G1GC,478,45,39,3240,8.2,3,2805,77,10,36,8,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,624.95,1145,1295.62,2.23333,1.95914154545185,2.53115204736296,1261,1337,0,3.79928,3.8,3761.0M,3.8,3761.0M,0
21,3.7,5906.0M,G1GC,500,50,32,3170,9.8,3,2875,63,10,40,8,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,600.483,1202.5,1660.89,2.19338,1.91963510341852,2.47942715134074,1413,1745,0,4.03087,3.7,5906.0M,3.7,5906.0M,0
19,3.8,6005.0M,ShenandoahGC,464,50,41,3300,9.5,7,2630,74,7,40,10,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,594.733,1218,1762.55,2.23093,2.02055945746296,2.53592426067037,1757,1786,0,4.0431,3.8,6005.0M,3.8,6005.0M,0
20,3.7,3864.0M,G1GC,497,50,39,3340,9.7,3,2735,68,10,42,8,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,590.083,1228.67,1294.95,2.1895,1.86989080588889,2.4860940933963,1186,1349,0,4.02773,3.7,3864.0M,3.7,3864.0M,0
31,3.7,3764.0M,G1GC,493,49,35,3570,9.9,3,2705,57,10,42,8,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,587.483,1234.67,1317.25,2.18689,1.8930998438,2.47562445161481,1266,1363,0,4.01774,3.7,3764.0M,3.7,3764.0M,0
24,3.4,5382.0M,G1GC,469,47,49,1720,7.1,2,3185,90,13,32,9,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,571.5,1277.5,1751.47,2.00861,1.81924386492222,2.27643730704815,1713,1770,0,3.75066,3.4,5382.0M,3.4,5382.0M,0
36,3.3,4407.0M,G1GC,456,37,25,9060,5.2,2,3480,82,11,36,6,4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,565.233,1294.67,1584.23,1.94955,1.69565387063333,2.21624443417778,1562,1603,0,3.84846,3.3,4407.0M,3.3,4407.0M,0
28,3.4,4791.0M,G1GC,477,38,74,2980,9,3,4245,112,17,33,5,2,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,562.333,1302.17,1381.96,1.99508,1.70363949021481,2.2833079208,1152,1614,0,3.78861,3.4,4791.0M,3.4,4791.0M,0
10,4,2654.0M,ShenandoahGC,409,9,88,1200,6.2,7,645,250,7,22,10,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,548.15,1343.67,943.737,2.37755,2.02596609445185,2.6900825553963,897,1041,0,4.10257,4,2654.0M,4,2654.0M,0
23,3.8,6094.0M,G1GC,500,39,20,4750,9.5,3,2335,47,9,42,6,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,545.983,1352.67,1830.28,2.24877,2.00162916838519,2.55528880607778,1760,1878,0,3.81494,3.8,6094.0M,3.8,6094.0M,0
