Trial,gc,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,StackTraceInThrowable,nettyBufferCheck,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
91,ParallelGC,347,30,29,2880,5.1,4,3225,218,3,39,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,749.7,4.83333,790.59,1.52477,1.22264738222222,2.1048558778571,775,805,0,3.75926,3.9,3563.0M,3.9,3563.0M,0
85,ParallelGC,357,36,81,2640,5.1,5,3155,224,4,33,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,749.233,4.83333,733.582,1.61862,1.28250328268519,2.20117315707407,722,751,0,3.59281,3.9,2819.0M,3.9,2819.0M,0
51,ParallelGC,424,49,3,3370,5.3,3,2100,174,4,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,749.15,5,966.436,1.5918,1.40127270418889,1.99313159242222,944,983,0,3.79663,4,4272.0M,4,4272.0M,0
92,ParallelGC,353,30,117,2980,6.3,4,3215,233,18,42,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748.883,4.33333,782.182,1.58899,1.22656962103333,2.1047680089979,748,815,0,3.58969,3.9,3235.0M,3.9,3235.0M,0
98,ParallelGC,332,30,90,2950,8.5,4,3005,247,18,40,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748.833,5.33333,672.704,1.66006,1.33637450943704,2.12393786356309,644,718,0,3.76087,4,2955.0M,4,2955.0M,0
80,ParallelGC,360,46,14,2650,4.7,4,3235,201,5,33,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748.583,5.16667,848.55,1.61996,1.30491095171852,2.22132654704074,816,875,0,3.52174,3.8,3778.0M,3.8,3778.0M,0
99,ParallelGC,334,30,91,2860,8.7,4,3035,248,18,39,2,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748.567,5.16667,652.869,1.66121,1.34890224128148,2.104021867052,636,667,0,3.55769,4,2932.0M,4,2932.0M,0
17,ParallelGC,496,50,7,3230,3.2,3,3440,163,18,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,748.517,5.33333,944.808,1.49906,1.25836986765926,1.91206577068148,930,963,0,3.84903,4,4320.0M,4,4320.0M,0
21,ParallelGC,365,50,6,3160,5.4,3,2270,180,9,3,1,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,748.35,5.33333,886.236,1.55866,1.36528627972593,1.99155325803135,852,914,0,3.77355,4,4160.0M,4,4160.0M,0
93,ParallelGC,350,29,118,2880,7.2,4,3340,250,16,42,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,1,748.25,5.16667,798.35,1.69855,1.23249314667778,2.33239016519259,774,818,0,3.71332,3.9,3146.0M,3.9,3146.0M,0
