Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci,cpu_req,mem_Req,cpu_lim,mem_lim
1,299.317,850.167,477.637,0.539922,0.447355705653528,0.677869449093116,463,490,0,30,1.63,2.11,3.04,1.94,2.87,669,3.5,1024
2,286.65,900.833,477.321,0.558836,0.4389216246525,0.713972353227703,456,497,0,29,5.36,7.35,4.34,8.25,2.87,669,3.5,1024
3,296.517,867.167,486.841,0.552959,0.407209772569434,0.706638119865881,444,522,0,43,3.08,3.83,8.31,6.53,2.87,669,3.5,1024
4,296.65,865.333,508.318,0.531284,0.426796412031179,0.683177683271267,501,512,0,34,5.33,7.07,1.02,6.7,2.87,669,3.5,1024
5,306.967,814.833,462.457,0.587945,0.45800599959051,0.721871259896517,423,501,0,21,2.26,1.54,9.34,1.74,2.87,669,3.5,1024
6,289.467,871.333,432.285,0.544745,0.46084215439979,0.679523798686046,403,456,0,48,12.88,10.88,5.09,2.46,2.87,669,3.5,1024
7,309.95,813.5,487.68,0.5964,0.490608144721131,0.762379151283554,412,562,0,18,7.11,10.65,16.7,4.2,2.87,669,3.5,1024
8,318.15,775.833,477.985,0.599043,0.51267504260246,0.739891640285584,471,481,0,47,1.57,1.87,0.4,2.4,2.87,669,3.5,1024
9,321.367,773.667,464.318,0.603238,0.503440746456356,0.774696896392057,438,490,0,30,1.06,1.81,5.48,3.35,2.87,669,3.5,1024
10,323.283,774.333,451.099,0.610562,0.51850374958503,0.768681543412301,433,463,0,23,1.87,2.29,2.68,3.16,2.87,669,3.5,1024
11,316.75,782.667,470.102,0.585257,0.481613229153172,0.748554880937258,460,472,0,10,6.39,9.31,0.43,4.53,2.87,669,3.5,1024
12,315.4,792,445.093,0.568014,0.440080616782978,0.778236361318096,414,470,0,23,4.48,5.07,6.08,15.31,2.87,669,3.5,1024
13,315.983,779.5,456.697,0.579851,0.418591167501663,0.794790893863926,419,483,0,38,2.86,2.86,6.36,9.61,2.87,669,3.5,1024
14,316.333,782.167,435.682,0.557778,0.445615806979862,0.75127967228087,413,459,0,13,3.38,4.61,5.47,6.42,2.87,669,3.5,1024
15,319.267,764,437.291,0.594464,0.473863553566576,0.786232991050582,428,443,0,27,1.39,1.6,1.65,5.95,2.87,669,3.5,1024
16,316.017,773,467.174,0.570231,0.488685342449811,0.720395995664064,433,500,0,29,4.22,1.21,7.93,5.73,2.87,669,3.5,1024
17,321.55,762.167,474.04,0.559748,0.446801085362098,0.722617777359444,426,512,0,38,3.03,1.51,9.41,4.16,2.87,669,3.5,1024
18,323.917,757.167,501.075,0.570399,0.459212394605807,0.739498926058344,483,517,0,39,1.61,1.49,3.36,5.02,2.87,669,3.5,1024
19,327.75,745,483.165,0.565823,0.46627535424375,0.762105610817699,451,514,0,39,1.89,1.77,7.16,8.07,2.87,669,3.5,1024
20,309.867,794.667,455.035,0.547004,0.435012036573589,0.717076298408934,420,486,0,42,3.77,4.81,7.58,8.29,2.87,669,3.5,1024
21,301.45,832.333,432.919,0.530581,0.42975286314,0.663541423787072,413,450,0,37,3.64,4.84,4.4,3.56,2.87,669,3.5,1024
22,302.567,833.333,449.134,0.614914,0.463545768011581,0.861394354095524,396,498,0,41,7.9,10.27,12.34,13.59,2.87,669,3.5,1024
23,311.85,801.167,462.151,0.562807,0.446923697984624,0.743079562593315,453,469,0,35,1.58,1.69,0.73,8.55,2.87,669,3.5,1024
24,293.433,884.667,478.478,0.591874,0.435844289657457,0.783169717718012,446,509,0,45,7.82,11.97,7.22,12.29,2.87,669,3.5,1024
