Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,WEB_ERRORS,MAXINLINELEVEL
1,634.05,262.833,568.833,1.31835,1.12886750576196,1.55462991876868,540,581,19.9632,28.311,0,147
2,571.183,323.333,545.209,1.299,1.13623278732668,1.57658289762088,526,556,19.9197,28.0758,0,136
3,577.183,318.167,547.825,1.305,1.1914212649231,1.56783939668521,536,562,19.9414,28.842,0,148
4,572.55,324.167,548.786,1.29122,1.12009273494733,1.51843838077024,529,566,19.9352,29.2812,0,56
5,598.9,297.5,542.187,1.25251,1.11069206099713,1.46150800514364,509,561,20.0099,29.2236,0,46
6,579.6,315.333,546.036,1.32765,1.19637122605308,1.5439841484548,527,564,20.0289,29.4039,0,78
7,588.9,306.167,554.683,1.30307,1.13190237888424,1.5883988302648,540,568,20.0419,29.5536,0,23
8,603.267,291.667,552.845,1.30922,1.12300315091718,1.55058124298278,531,568,20.0549,29.135,0,18
9,589.183,303.833,552.175,1.29332,1.14999572095054,1.55404331314643,538,568,19.8675,28.9485,0,51
10,593.35,296.5,535.267,1.29984,1.16398728857941,1.5299995817674,522,548,19.8785,28.2946,0,132
11,621.9,273.167,556.814,1.2987,1.08617286112091,1.52498467748188,551,566,19.9943,28.8828,0,106
12,612.083,278,569.84,1.31293,1.1475648268021,1.57269424975577,553,592,20.0323,28.5318,0,109
13,620.933,272.333,553.516,1.29796,1.1181998687747,1.52304631215718,542,569,19.9984,28.9675,0,107
14,630.7,264.833,538.692,1.2979,1.18452955299211,1.51201505610767,525,548,20.0419,28.7052,0,105
15,586.217,308,544.276,1.29151,1.15146952177637,1.55642798133344,521,563,20.0054,28.4722,0,85
16,612.833,282.333,551.838,1.31339,1.18457920134311,1.57131464925842,540,565,20.0637,29.526,0,150
17,579.733,315,544.549,1.32083,1.17547219371948,1.55448094349608,532,562,20.0403,28.6646,0,129
18,566.167,330.667,553.305,1.30709,1.13491252360392,1.53589923708952,529,578,20.0925,29.0904,0,93
19,612.4,280,531.014,1.26994,1.14205298872014,1.53434454331194,499,551,20.0666,28.9682,0,121
20,593.667,298,545.677,1.31685,1.17264684446149,1.53562822033733,522,564,20.1154,28.7038,0,148
21,608.683,286.167,544.904,1.33017,1.15729760671352,1.56266523527638,504,583,20.0922,29.3743,0,66
22,597.683,294.667,562.088,1.31434,1.07576388888706,1.58060257299869,537,582,20.18,29.4887,0,103
23,585.15,309.167,545.523,1.33106,1.17891643030934,1.59194241741754,530,562,20.194,28.9749,0,119
24,656.333,243.833,540.452,1.31629,1.13142521799513,1.53257796197088,522,553,20.1371,29.9064,0,95
25,572.867,319.5,516.114,1.29611,1.14038295522405,1.52058468266003,490,535,20.3003,28.744,0,95
26,583.783,310.5,555.642,1.31633,1.13542815874788,1.53951246579962,542,567,20.2502,28.893,0,65
27,598.367,295,553.696,1.29979,1.16924471328258,1.51935120507166,545,564,20.2528,28.5934,0,90
28,590.717,303.5,541.194,1.30377,1.14703219070049,1.51794178472158,527,553,20.2172,28.8302,0,78
29,609.517,284.833,542.992,1.30747,1.14478771359935,1.53392699820175,530,558,20.2343,29.0427,0,34
30,617.75,276.667,560.075,1.24993,1.02795854964198,1.4908074894597,529,580,20.2743,28.7925,0,138
31,591.3,301.333,553.381,1.3225,1.17558423086503,1.5629570410304,529,578,20.234,28.9961,0,117
32,496.85,416.167,522.282,1.32991,1.21246319455725,1.53614086557834,507,533,20.221,28.9431,0,2
33,596.35,299.667,553.132,1.33004,1.20083358235486,1.58541013665806,530,577,20.3238,29.7716,0,103
34,603.633,291.167,545.556,1.29265,1.11312122636325,1.54104054180782,533,559,20.2912,29.2324,0,116
35,593.833,302.667,546.63,1.30966,1.0986428289792,1.5447334248581,539,558,20.3027,28.8347,0,138
36,621.983,269.667,537.696,1.31142,1.14328199898474,1.60263264040156,524,548,20.2988,28.7652,0,85
37,616.5,275.167,536.964,1.1493,0.595209093477562,1.52750976521263,519,553,20.313,28.815,0,67
38,587.367,304.833,541.986,1.3109,1.14606459002004,1.56778714546748,516,557,20.2577,29.3455,0,83
39,573.2,319.667,547.367,1.29414,1.12726602421051,1.54574618177835,531,565,20.2226,29.251,0,73
40,611.717,281.333,540.281,1.28276,1.12039517221753,1.48818177832556,521,564,20.1725,28.6979,0,99
41,601.717,291.333,541.689,1.28391,1.09941976470903,1.50895492400117,527,560,20.1959,29.2133,0,57
42,577.817,319.167,547.442,1.29381,1.17032909061506,1.55876676584052,518,572,20.1706,29.3156,0,87
43,563.85,330.333,547.593,1.33077,1.1467816887816,1.64097229734616,516,570,20.2503,29.2369,0,111
44,573.617,323,547.715,1.27309,1.02599914377721,1.52446130132952,534,557,20.2968,29.1286,0,126
45,606.283,285,536.123,1.28849,1.12730205574369,1.49885599084528,520,546,20.3026,28.7881,0,96
46,593.017,299.167,542.602,1.30389,1.06127282565293,1.60327090515884,520,558,20.2823,29.0977,0,111
47,611.483,280,549.217,1.26267,1.09920812187491,1.53864306271717,534,564,20.3262,29.0681,0,79
48,579.933,311.167,541.109,1.29079,1.02126065280574,1.51709611801031,526,556,20.334,28.8021,0,103
49,564.05,332.333,534.492,1.30606,1.1247577438134,1.55803283408852,515,546,20.3381,29.4182,0,134
50,616.417,287.833,552.526,1.32021,1.15421786282747,1.53347406596912,534,570,20.3442,30.5361,0,126
51,601.65,292.833,553.08,1.28795,1.14060081632177,1.50487442004202,523,575,20.3233,29.3993,0,72
52,572.717,320.5,551.518,1.29717,1.16848408868655,1.56615771123583,542,563,20.2506,29.2296,0,107
53,578.883,314,542.213,1.30503,1.19272772897769,1.5381180041949,529,560,20.2141,29.0671,0,90
54,619.617,277,536.029,1.31174,1.07524065777795,1.58359789580706,511,555,20.3266,29.0993,0,143
