Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,313.8,793.667,427.368,0.645414,0.540132212624765,0.814682597161831,397,446,0,20,1.29,2.18,5.07,4.59
2,316.433,791.667,452.563,0.660223,0.561126241731189,0.85314207948366,432,475,0,28,1.93,2.67,4.84,4.57
3,309.033,821.5,406.075,0.631256,0.515855604122048,0.804315374237706,394,423,0,47,2.73,3.26,1.67,3.68
4,311.4,814,422.715,0.689335,0.56994217116994,0.865366601019378,399,443,0,9,8.18,4.49,4.62,3.18
5,296.333,860.667,446.212,0.653012,0.52868808063679,0.821170439035317,405,487,0,42,5.96,7.54,9.51,8.26
6,299.75,835.667,455.11,0.657801,0.527788696048587,0.819782138875057,432,473,0,17,4.54,4.22,4.49,4.24
7,299.533,849.333,455.475,0.670623,0.572426840071388,0.821570349716657,423,483,0,49,3.51,5.74,6.52,4.13
8,305.083,827.833,416.75,0.688898,0.585141510397498,0.87276021377223,388,454,0,16,2.94,5.01,6.18,1.98
9,311.683,811.667,486.335,0.666323,0.554278681802217,0.844528706764396,479,494,0,36,2.67,2.04,1.57,3.46
10,312.15,798.333,449.179,0.659441,0.529523920332982,0.856143880776427,391,501,0,39,2.16,2.98,12.01,8.03
11,310.683,801.333,444.01,0.663094,0.548851560021409,0.837634885633333,406,480,0,30,10.09,9.33,9.15,5.82
12,318.167,781.833,460.212,0.675749,0.574801327274081,0.869941575467882,420,503,0,23,1.52,2.86,9.84,4.55
13,317.117,794.667,432.167,0.644544,0.531790503254969,0.819915805985869,415,460,0,25,2.95,4.76,2.7,3.26
14,298.8,850.833,442.537,0.671436,0.557558396497652,0.854814386820985,428,454,0,30,4.79,5.64,2.49,3.94
15,299.417,852.667,439.865,0.673804,0.544975319442847,0.888422060591744,376,490,0,24,3.14,4.12,9.03,4.96
16,318.25,780.5,416.657,0.698534,0.590716060671293,0.852663013494984,404,428,0,33,1.46,3.23,1.54,3.27
17,325.667,761.167,457.812,0.710352,0.576466743460452,0.901793477407805,410,520,0,10,1.49,2.5,10.8,5.61
18,329.083,753.333,409.321,0.723816,0.614227232260664,0.91228323243145,385,436,0,9,2.56,4.09,5.32,3.64
19,326.35,761,430.885,0.702966,0.60220578485583,0.889374973207491,421,445,0,10,2.83,4.78,2.08,2.94
20,327.35,756.667,435.202,0.719836,0.629097131865862,0.882847066251477,412,465,0,13,2.99,4.45,4.94,2.38
21,331.033,742.5,410.734,0.717285,0.616828912663822,0.902340330347332,392,431,0,16,3.03,3.84,3.27,6.43
22,330.283,748,478.875,0.699762,0.58335138236341,0.899532250903382,449,506,0,14,3.43,3.57,4.82,5.55
23,326.483,762,428.766,0.696556,0.590476629122853,0.868716706389399,374,449,0,14,2.58,3.15,6.69,3.29
24,337.617,729.667,457.545,0.700351,0.557231851441233,0.941445149618389,423,494,0,19,2.56,2.94,7.83,8.71
25,332.517,743.667,415.318,0.672678,0.572951987872994,0.874320931131556,407,427,0,19,8.02,10.06,1.39,3.37
