TRIALS,  THROUGHPUT_RATE_3m , RESPONSE_TIME_RATE_3m , MAX_RESPONSE_TIME , CPU_USAGE , MEM_USAGE , CPU_MIN , CPU_MAX , MEM_MIN , MEM_MAX , THRPT_PROM_CI , RSPTIME_PROM_CI      , THROUGHPUT_WRK , RESPONSETIME_WRK , RESPONSETIME_MAX_WRK , RESPONSETIME_STDEV_WRK , WEB_ERRORS , THRPT_WRK_CI , RSPTIME_WRK_CI        , CPU_REQ , MEM_REQ , CPU_LIM , MEM_LIM , QRKS_TP_CORETHREADS , QRKS_TP_QUEUESIZE , QRKS_DS_JDBC_MINSIZE , QRKS_DS_JDBC_MAXSIZE , FreqInlineSize , MaxInlineLevel , MinInliningThreshold , CompileThreshold , CompileThresholdScaling , ConcGCThreads , InlineSmallCode , LoopUnrollLimit , LoopUnrollMin  , MinSurvivorRatio , NewRatio , TieredStopAtLevel , TieredCompilation , AllowParallelDefineClass , AllowVectorizeOnDemand , AlwaysCompileLoopMethods , AlwaysPreTouch , AlwaysTenure , BackgroundCompilation , DoEscapeAnalysis , UseInlineCaches , UseLoopPredicate , UseStringDeduplication , UseSuperWord , UseTypeSpeculation
100,20159.6,3.22592,2695.358324,3.00923,1120.34,1.70299633571295,3.82907340170741,764,1500,0.38,8.42,19737.3,25.9067,3410,33.57,0,1.72,1.66,3.75, 3474M ,3.75, 3474M ,12,2140,1,45,416,42,6,7080,3.6,6,1891,146,13,7,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
81,14428.8,8.07982,3021.538672,2.1158,918.01,1.12285331292452,2.66196240839259,529,1277,1.19,0.14,14131.1,36.2156,3310,40.3411,0,1.86,1.84,2.63, 3534M ,2.63, 3534M ,13,1480,1,37,414,41,19,3920,1.4,7,1422,213,16,3,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
91,19977.5,3.00758,2888.391382,2.92165,931.862,1.57059688786734,3.71400134285185,612,1210,1,4.44,19589.4,26.1278,3220,32.6833,0,1.9,1.87,3.64, 3626M ,3.64, 3626M ,10,1000,2,45,419,43,28,6650,3.9,6,1818,198,17,14,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
148,19922.5,3.70551,3505.672832,3.09551,1236.17,1.8935676693054,3.98434210722593,777,1567,0.68,4.9,19510.4,26.2267,1430,32.4589,0,1.72,1.69,3.83, 2139M ,3.83, 2139M ,9,6980,1,43,386,44,70,4590,14.1,6,2191,138,19,43,6,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
195,20567.1,3.75848,2372.85166,3.05175,1032.27,1.64142903180914,3.90948578817778,483,1367,0.89,10.82,20110,25.4267,3610,34.6211,0,1.8,1.76,3.76, 2561M ,3.76, 2561M ,10,2710,1,45,393,42,27,3960,3.4,7,3966,120,11,5,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
125,19489.5,2.71581,3220.399078,2.92993,865.49,1.73118209116787,3.8063480943963,682,1213,0.67,16.86,19118.2,26.7689,3490,33.7222,0,1.55,1.51,3.64, 3513M ,3.64, 3513M ,4,1780,3,80,394,43,21,6430,3.1,6,1213,240,15,15,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
78,19304.2,3.65793,2080.498045,2.91005,945.342,1.50210853763379,3.74587777403704,447,1196,0.8,16.64,18927.9,27.0389,1320,33.0567,0,1.74,1.72,3.6, 3337M ,3.6, 3337M ,11,2090,2,41,421,38,46,4300,1.8,7,2056,238,19,13,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
143,19029,4.37678,3893.742956,2.95992,1080.45,1.6043638456956,3.79750541324074,660,1468,0.2,26.87,18622.6,27.46,3410,35.2978,0,1.74,1.69,3.67, 2035M ,3.67, 2035M ,19,6510,1,42,394,42,96,8770,13.8,4,3871,126,19,41,6,3,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
93,20238.5,2.99596,2704.77029,3.0117,890.46,1.87183227637845,3.80510251992593,648,1074,1.09,15.7,19813.7,25.81,3420,32.7244,0,1.72,1.67,3.73, 3586M ,3.73, 3586M ,9,2570,3,45,403,43,7,6080,2.9,6,1416,242,16,14,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
102,19151.3,3.60514,2433.587074,2.85906,1018.96,1.65601881879097,3.64259570614444,810,1306,4.76,3.25,18776.7,27.2322,3510,37.1589,0,2.3,2.27,3.57, 3477M ,3.57, 3477M ,10,1450,1,47,413,41,4,7380,2.9,6,1920,166,13,7,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
