INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
45,39258.9,4.42314,1275.029365,1.45154,16.1375,33.0903,46.9382,60.9505,82.0351,10072.6,30000,6.10686,511.105,3.30343017287172,8.00087934058148,490,540,2.66,53.21,38352.8,13.3422,3190,14.2711,0,1.79,1.76,7.6, 2709M ,7.6, 2709M , UseParallelGC 
32,40974.4,4.89107,1282.754723,2.00283,17.9081,37.2095,47.1203,60.4558,85.1484,10071.5,30000,6.34032,519.911,3.4514301660178,8.09903440544308,502,536,13.78,6.97,41300.3,12.3867,3360,13.1044,0,1.96,1.93,8, 3036M ,8, 3036M , UseParallelGC 
25,41050.6,4.73875,1338.259422,1.78525,17.7086,34.984,47.6961,60.593,84.1126,10068.7,30000,6.3894,500.649,3.30394565155196,8.29241234794815,482,519,2.71,36.46,40092.9,12.7611,3170,13.6267,0,1.96,1.93,7.9, 2563M ,7.9, 2563M , UseParallelGC 
66,40933.5,4.47496,1453.52874,1.48211,16.7181,28.6172,45.7795,59.2166,80.3799,10062.1,30000,6.20769,489.136,3.57057868990901,7.9624555969037,481,498,0.82,46.19,39941.8,12.8033,3360,13.6633,0,1.63,1.57,7.8, 2598M ,7.8, 2598M , UseParallelGC 
83,41958.1,4.56852,1471.72553,1.76672,16.5778,32.882,45.7466,58.6158,80.0421,10061,30000,6.36038,509.457,3.83304903196911,8.07777463578519,497,517,1.15,25.15,41030,12.4611,3360,13.1589,0,1.48,1.44,7.9, 2916M ,7.9, 2916M , UseParallelGC 
74,40230.3,4.55164,1443.606049,1.74019,17.4437,32.717,46.3404,59.8415,81.419,20029.7,30000,6.28331,467.686,3.91887784869661,8.14613319165926,441,493,2.63,53.76,39286.2,13.0222,3170,13.8256,0,1.74,1.72,7.8, 2325M ,7.8, 2325M , UseParallelGC 
42,41975.8,4.5594,1561.008988,1.78579,18.0899,30.025,43.4564,56.5289,74.6841,92.4782,30000,6.46211,505.405,3.34906649669913,8.35701354201111,484,533,4.77,69.53,41012.7,12.4711,3190,13.2867,0,2.1,2.07,8, 2671M ,8, 2671M , UseParallelGC 
44,39463.8,5.06694,1325.600875,1.83798,19.1675,41.4597,50.2941,63.7154,86.5076,20035.9,30000,6.08271,505.015,3.51273115358058,7.64116054850741,485,543,2.29,12.67,38517.6,13.2789,3370,14.4911,0,1.75,1.72,7.5, 2695M ,7.5, 2695M , UseParallelGC 
72,40956.4,4.80796,1472.916025,1.78869,16.8014,36.8893,48.1439,61.1373,85.5652,10070.7,30000,6.25616,503.231,3.48726861527648,8.16646094014074,487,518,2.49,6.33,40050.1,12.7756,3360,13.4122,0,1.91,1.86,7.8, 2574M ,7.8, 2574M , UseParallelGC 
65,38877.3,4.90558,1389.55885,1.58534,22.9877,35.2417,50.4868,65.4945,85.5578,103.529,30000,5.92514,491.471,3.11956238662408,7.64459095375556,472,513,3.47,65.91,37923.8,13.4878,3370,15.8411,0,1.82,1.8,7.4, 2598M ,7.4, 2598M , UseParallelGC 
33,41069.3,4.99461,1474.824843,1.86921,19.7465,35.825,48.1733,60.8962,82.584,96.4266,20052.2,6.28177,501.506,3.40389624294033,8.26719568351111,482,527,2.7,41.06,40101,12.7567,3290,14.2911,0,2.01,1.99,7.8, 2646M ,7.8, 2646M , UseParallelGC 
43,39752.7,4.70195,1535.247336,1.57285,17.1052,37.4166,49.0818,61.9387,84.4083,10071.7,30000,5.98927,514.23,3.13736486458246,7.48662646828148,492,530,0.93,30.21,38770.1,13.1911,3370,14.9089,0,1.57,1.52,7.5, 2916M ,7.5, 2916M , UseParallelGC 
63,39653.3,4.74057,1521.695395,1.62405,17.3642,39.059,49.5327,62.8443,86.9608,108.325,30000,6.10372,522.857,3.39548762659568,7.90168925250741,496,558,1.07,29.65,38743.3,13.2022,3190,14.8189,0,1.71,1.67,7.6, 2834M ,7.6, 2834M , UseParallelGC 
34,42566.5,4.96965,1558.350075,2.11396,18.541,36.0907,46.3197,59.8702,82.4514,10064.3,30000,6.37514,553.351,3.62329357252943,8.49743687820741,520,595,3.36,25.43,41515.1,12.3178,3360,14.6111,0,1.64,1.61,8, 3110M ,8, 3110M , UseParallelGC 
76,38911.1,4.26828,1668.273896,1.27612,15.2233,29.2022,46.6694,60.016,81.3709,98.8776,30000,6.1611,519.39,3.42965049662342,7.79898523550595,492,548,15.06,20.38,39214,13.0456,3190,13.8422,0,1.73,1.71,7.7, 2757M ,7.7, 2757M , UseParallelGC 
54,37339.3,5.39707,1268.272286,1.85574,22.9705,46.0002,54.7937,68.2254,88.3403,10072.5,30000,5.77689,532.1,3.25684346393208,7.35172290890371,509,569,2.65,18.55,36475.8,14.02,3310,16.4678,0,1.75,1.7,7.2, 2882M ,7.2, 2882M , UseParallelGC 
84,41833.9,6.02962,1319.623921,2.57006,27.8973,42.7457,50.7265,63.6714,86.7345,108.139,30000,6.28367,540.191,3.53795095678245,8.00647991871482,503,560,0.4,32.08,40885.9,12.5089,3340,14.0356,0,1.97,1.94,7.9, 3310M ,7.9, 3310M , UseParallelGC 
26,41524.4,5.25898,1520.127256,2.15835,26.1091,35.4552,47.577,61.2751,88.5833,20036.5,30000,6.39625,477.456,3.33076078684415,7.92259147805556,458,488,1.05,54.55,40567.5,12.61,5070,13.7122,0,1.6,1.59,8, 2539M ,8, 2539M , UseParallelGC 
28,38935.5,5.10753,1469.885184,1.88628,22.166,44.1042,53.3922,66.9593,87.7609,10072.4,30000,5.96557,484.722,3.45617129585677,7.69281024608148,458,508,5.43,43.17,38039.2,13.4533,3370,16.3278,0,2.2,2.17,7.4, 2499M ,7.4, 2499M , UseParallelGC 
78,38617.9,5.04107,1484.056937,1.74421,18.8016,41.8998,51.2223,65.3006,91.691,20040.4,30000,6.08112,450.276,3.21787224513204,7.80490906503333,437,462,2.59,22.61,37758.3,13.5444,3360,14.7411,0,1.65,1.62,7.6, 2023M ,7.6, 2023M , UseParallelGC 
75,41716.3,5.0204,1614.416806,2.00813,18.9306,37.0931,47.296,60.3033,82.9605,10073.5,30000,6.41802,463.905,3.44843237442329,8.32492110087665,449,474,2.46,27.93,40772.3,12.5456,3360,13.5144,0,1.61,1.6,8, 2324M ,8, 2324M , UseParallelGC 
68,37709,5.1062,1442.898461,1.67739,18.5886,44.0555,53.6755,66.81,87.3623,107.087,22386.1,5.78491,488.566,3.21813143570826,7.36167039136667,482,498,1.36,14.81,36814.3,13.8978,5070,15.6233,0,1.75,1.73,7.2, 2577M ,7.2, 2577M , UseParallelGC 
52,39617.1,4.58485,1710.942648,1.48291,16.535,37.3434,48.9445,61.8951,84.1818,99.1277,30000,6.14662,503.439,3.34902209077443,7.94568386057778,487,516,0.76,22.46,38679.9,13.2256,3150,14.5689,0,1.55,1.53,7.6, 2652M ,7.6, 2652M , UseParallelGC 
53,40430.3,4.90827,1633.39893,1.77684,18.2986,39.3149,49.2728,62.6403,88.8057,10086,30000,6.22299,510.621,3.50081653913245,7.9570003526037,501,525,0.36,21.06,39469.2,12.96,3190,14.9144,0,1.67,1.65,7.7, 2642M ,7.7, 2642M , UseParallelGC 
