INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,23671,8.33592,2258.813513,2.23429,68.7628,77.5401,86.131,102.687,124.726,182.539,30000,3.19727,1033.4,1.76682716690098,4.16365992828148,861,1091,2.05,39.57,23165.4,22.0844,3190,27.4333,0,1.63,1.59,4, 3072M ,4, 3072M , UseParallelGC 
2,19821.1,18.7039,2283.258581,4.88162,81.6069,85.8641,95.1222,116.081,182.326,20073,30000,3.22505,410.665,1.81445871466178,4.14990073997778,381,435,4.63,9.85,19396.1,26.3811,3270,30.1522,0,2.09,2.1,4, 3072M ,4, 3072M , UseSerialGC 
3,20034.3,18.0831,2407.418901,4.84178,81.3879,85.7103,94.4709,117.695,190.059,228.942,30000,3.22015,407.203,2.00990259395675,4.04651915435556,383,421,2.43,9.02,19630.1,26.0633,3140,29.1589,0,1.73,1.72,4, 3072M ,4, 3072M , UseSerialGC 
4,19361.7,15.6579,2292.968251,3.75876,84.0048,87.6853,101.738,129.655,198.973,10198.1,30000,3.23318,2074,1.86452343797868,4.04733419921852,2043,2098,4.35,10.7,18966.6,26.9411,3390,33.6511,0,1.87,1.78,4, 3072M ,4, 3072M , UseShenandoahGC 
5,19969.8,16.1632,2216.437904,4.01892,83.2778,86.7026,96.1364,113.171,187.583,20069.6,30000,3.22459,720.79,1.74363683981754,4.1162612659,586,914,2.12,9.61,19544.9,26.1767,3290,32.2044,0,1.61,1.58,4, 3072M ,4, 3072M , UseG1GC 
6,19379.3,15.9658,2447.445057,3.92486,84.1184,87.7432,101.999,130.397,198.497,284.885,30000,3.19984,2066.12,1.72514166324767,4.0544293623963,1989,2131,1.13,2.54,19009.3,26.9133,3190,32.3922,0,1.82,1.79,4, 3072M ,4, 3072M , UseShenandoahGC 
7,19692.9,18.4648,1908.109008,4.64702,81.8591,86.1017,96.6138,122.485,202.433,275.267,30000,3.2411,397.385,1.86598040987653,4.0256034950963,374,418,1.72,12.65,19309,26.4944,3370,31.0311,0,2.13,2.08,4, 3072M ,4, 3072M , UseSerialGC 
8,19971.6,16.0881,2208.239437,4.17229,83.0311,86.5115,94.8469,111.41,183.084,200.821,30000,3.23677,700.419,1.753408068081,4.21391315969259,580,860,2.27,9.46,19559.9,26.1567,1200,31.14,0,1.74,1.72,4, 3072M ,4, 3072M , UseG1GC 
9,21676.2,11.2971,2351.267321,2.93995,77.4499,82.9138,88.4173,109.871,156.923,10132.7,30000,3.26661,973.674,1.96073605064266,4.13264115291111,751,1053,16.1,25.76,21953.3,23.2889,3410,29.6856,0,1.89,1.81,4, 3072M ,4, 3072M , UseParallelGC 
10,19891.6,18.2954,2121.008384,4.83444,81.3257,85.779,95.2673,118.307,190.276,10171.9,30000,3.22978,420.96,1.80075209206915,4.19200911466296,396,453,13.66,34.96,19458.1,26.3144,3410,30.6856,0,4.02,3.93,4, 3072M ,4, 3072M , UseSerialGC 
