TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
92,38631.7,1.47318,4589.178445,3.12428,1203.43,1.67698700236871,3.94667086232593,907,1644,5.87,25.63,37832.2,13.5378,492.83,23.3644,0,2.93,2.91,3.85,3350M,3.85,3350M,9,7800,3,87,451,30,184,7170,11.1,7,1062,60,14,21,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
97,36310.3,1.53404,3853.619456,2.88961,1187.87,1.45632796301936,3.6831020536963,802,1518,0.89,48.57,35455.4,14.4333,486.54,24.26,0,1.86,1.83,3.58,3061M,3.58,3061M,8,8670,4,84,446,27,173,7600,8.7,8,922,21,15,19,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
90,37510.2,1.53559,3901.272201,3.08696,1243.89,1.80679357103666,3.98804017842593,889,1550,3.72,7.11,36566.5,14.0011,503.32,23.8956,0,2.38,2.38,3.83,2955M,3.83,2955M,9,8270,4,87,479,28,172,6870,11.1,7,954,48,14,21,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
94,39116.6,1.53807,3463.896599,3.00355,1178.46,1.78229148417006,3.81711833175185,913,1329,10.67,6.91,38194.7,13.4111,692.06,23.3544,0,3.24,3.27,3.73,3275M,3.73,3275M,9,9190,4,87,470,30,186,7530,9.3,7,992,20,15,22,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
87,38079.5,1.64466,4191.115442,3.09145,996.814,1.63895022003067,3.9552489831963,727,1469,5.15,25.56,37215,13.7556,501.22,23.98,0,2.42,2.42,3.82,3391M,3.82,3391M,7,8340,4,87,455,28,171,5620,12.1,6,1314,48,14,13,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
77,40252.6,1.69332,3150.753324,3.15763,1077.43,1.56768325725667,4.07153203077778,789,1226,6.46,23.48,39419.2,12.9867,507.51,23.44,0,2.44,2.43,3.91,3706M,3.91,3706M,3,6790,6,79,418,26,153,6860,10.8,6,1511,35,13,19,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
82,38154.3,1.69414,3573.975798,3.10695,990.22,1.71597594121335,3.97982191957407,750,1315,8.45,27.85,37272.3,13.7411,492.83,24.0589,0,2.84,2.86,3.89,3592M,3.89,3592M,5,7770,5,83,391,26,126,6810,13.4,6,1443,44,12,14,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
76,38970.1,1.72519,3466.432635,3.07623,1127.45,1.78793544912552,3.96097964924074,796,1472,3.01,18.49,38109.6,13.4278,501.22,24.0167,0,1.83,1.81,3.86,3692M,3.86,3692M,3,6980,6,80,412,26,133,6620,10.7,6,1514,50,13,12,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
88,36491.2,1.72904,4193.814674,2.93421,957.523,1.59461220902022,3.7530405287,867,1076,7.97,13.6,35625.8,14.37,478.15,24.2278,0,2.55,2.52,3.62,3345M,3.62,3345M,7,8290,4,89,459,28,197,6770,12,7,1276,46,16,19,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
62,41300.1,1.73719,2905.934621,3.22972,1096.76,1.93054938799945,4.2571067262963,846,1311,7.73,27.78,40386.3,12.6789,488.64,23.3133,0,2.79,2.8,4.0,3962M,4,3962M,6,6790,5,81,393,23,141,2270,13.4,6,1712,199,11,5,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
85,37804.1,1.77106,4049.939922,3.16845,871.963,1.97581375830999,4.04819695597407,785,989,7.64,15.65,36897.8,13.8822,494.93,24.1467,0,2.91,2.81,3.92,3621M,3.92,3621M,7,8000,5,88,401,22,199,6530,13.4,6,1727,45,11,13,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
45,39301,1.79091,2316.308295,3.08525,1115.34,1.80367333290382,4.0275251718963,773,1169,5.79,13.96,38390.5,13.3311,700.45,24.0578,0,2.15,2.15,3.83,3929M,3.83,3929M,12,3520,5,86,347,45,101,2040,3.3,7,1515,182,10,10,4,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
70,39608,1.80913,3352.681242,3.11994,1278.8,1.69877228532263,4.01820285141111,787,1357,4.67,49.82,38657.6,13.2378,499.12,23.7178,0,1.78,1.78,3.89,3631M,3.89,3631M,5,5940,5,83,390,24,130,8500,12.3,6,1656,36,11,13,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
64,41243.5,1.81567,2876.052299,3.21768,969.13,1.88364837379073,4.05754327596667,739,1142,11.21,12.48,40190.9,12.7478,513.8,23.1422,0,3.46,3.41,3.99,3522M,3.99,3522M,5,6130,5,82,392,23,142,1490,12.8,6,1727,177,12,13,4,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
63,38945.6,1.82234,2755.94282,3.24284,1168.06,1.93442747994914,4.13881651785185,977,1479,3.82,20.18,39287.8,13.05,499.12,23.6311,0,3.84,3.75,4.0,3934M,4,3934M,6,5950,5,81,395,23,133,1530,13.4,6,1671,197,11,13,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,40352.7,1.82679,2581.853505,3.13006,1187.87,1.74152106807279,3.92428523494074,797,1523,15.25,42.61,39364.3,13.0322,492.83,23.5833,0,4.42,4.51,3.89,3679M,3.89,3679M,4,7140,5,80,387,24,128,1150,13.5,6,1468,175,12,12,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
73,37897.8,1.8388,3876.016523,3.13819,865.445,1.76525685403281,4.02080350007778,759,972,2.69,10.01,37034.5,13.82,494.93,24.2856,0,1.98,1.94,3.88,3609M,3.88,3609M,5,7160,5,83,390,26,126,8690,13.2,5,1546,164,12,15,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
79,38649.4,1.87142,3066.143869,3.16959,877.98,1.86736605626223,4.04393215907037,801,979,4.74,13.55,37742.6,13.5644,497.03,24.0956,0,2.12,2.12,3.92,3391M,3.92,3391M,3,8300,6,70,413,21,131,7970,10.1,7,1470,50,15,17,2,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
46,38162.8,1.90606,2358.182689,3.18075,1178.67,1.84095653021265,3.95344841807778,994,1577,6.59,23.32,37328.4,13.7189,488.64,24.33,0,2.7,2.68,3.89,3861M,3.89,3861M,12,4750,5,85,370,32,111,1340,3,6,1362,187,10,3,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,39359,1.91315,2368.877793,3.07026,985.558,1.5534894357404,3.89626454911111,825,1218,5.02,36.58,38410.5,13.3267,499.12,23.9144,0,2.14,2.15,3.82,3930M,3.82,3930M,17,7610,5,76,326,41,14,1600,3.8,6,2249,176,11,6,4,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
86,37979.3,1.92217,3479.367407,3.06547,1021.79,1.68327623926617,3.90932720587037,779,1173,10.74,55.77,37079.4,13.8189,490.73,22.5511,0,3.36,3.31,3.77,4005M,3.77,4005M,5,8040,6,90,403,22,179,6500,10.9,7,1756,72,11,16,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
65,39979,1.95327,3135.147333,3.2459,1095.93,1.65587706100594,4.17055477956296,772,1406,4.69,41.09,39107.4,13.0889,505.41,23.7522,0,2.11,2.1,4.0,3927M,4,3927M,4,6600,7,81,393,23,149,2220,13.8,6,1222,173,14,13,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
59,39192.9,1.96492,2815.836948,3.12581,938.843,1.60154848181856,4.03781350276296,768,1087,8.07,29.48,38268.4,13.38,499.12,24.0778,0,2.66,2.66,3.87,3952M,3.87,3952M,10,6510,6,73,367,23,110,1450,11.7,6,2012,198,6,13,4,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93,36703.9,1.98861,3829.863896,3.09177,1303.45,1.99901122008427,3.89122384396667,945,1691,8.8,38.25,35907.9,14.2611,608.17,22.7656,0,2.76,2.75,3.81,2155M,3.81,2155M,9,7840,3,86,455,29,184,7130,11.1,8,643,58,14,25,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
49,39726.4,2.02279,2167.460877,3.13274,1188.2,1.76101299217103,4.08575819496296,1011,1309,9.9,31.79,38808.3,13.1944,497.03,23.5578,0,2.88,2.93,3.89,3122M,3.89,3122M,13,4650,4,85,360,33,136,1390,4.9,2,1958,187,9,10,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
53,37431.1,2.04132,2500.682597,2.87144,1258.1,1.61335220650952,3.68451352895556,983,1343,6.94,34.33,36535.1,14.0144,507.51,24.8422,0,2.41,2.43,3.5500000000000003,3684M,3.55,3684M,10,5350,4,78,342,30,117,2830,1.6,6,1892,195,8,10,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66,39622.8,2.06507,3022.581067,3.21564,903.948,1.66217928528173,4.14318086350741,701,955,3.59,43.24,38697.1,13.2278,492.83,23.9622,0,1.9,1.9,3.97,3528M,3.97,3528M,4,6860,7,81,396,23,145,2200,13.8,7,1209,177,14,24,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
84,37785.1,2.08669,3304.326873,3.22987,896.212,1.92844845950077,4.11530271272593,796,1278,21.18,43.55,37938.9,13.5,499.12,23.8789,0,3.06,3.05,4.0,3780M,4,3780M,2,6270,6,47,406,25,161,6900,14.8,6,757,28,13,21,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
