TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
97,41178.3,1.88971,16628.60272,3.23875,1998.87,1.77190787517764,4.1782093602037,1660,2393,12.25,18.99,40208.3,12.7478,499.12,23.7389,0,3.81,3.89,4.0,3390M,4,3390M,21,4320,12,79,328,50,44,9870,7.7,7,1911,145,16,11,10,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
87,39605.4,1.90254,3346.866246,3.01497,1489.34,1.74055194338504,3.88562892670741,1235,1956,10.45,34.06,38475.2,13.3067,520.09,24.1233,0,2.74,2.78,3.74,3286M,3.74,3286M,23,5290,10,82,338,48,48,8380,14.5,7,2405,117,11,9,5,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
38,42111.6,1.90646,3195.129008,3.22127,1745.42,1.77740189126464,4.12361480992593,1398,2186,1.5,6.51,41016.7,12.4744,494.93,23.3933,0,1.57,1.54,4.0,3319M,4,3319M,19,3700,10,86,340,50,55,6930,8.3,6,1416,128,13,12,9,4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
40,41023.1,1.92603,3304.312715,3.19648,1715,1.80710870220811,4.12330601171111,1283,2191,9.13,47.18,40091.7,12.7778,503.32,23.7611,0,3.33,3.29,3.98,3430M,3.98,3430M,23,6800,11,86,446,50,54,8700,13.1,6,1273,132,15,18,9,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
62,42036.1,1.9271,3207.841655,3.26207,1661.42,1.8676403060033,4.1164299880125,1337,2158,3.81,24.71,40956.4,12.4956,497.03,23.2444,0,2.23,2.16,4.0,3855M,4,3855M,23,8660,11,83,482,50,45,8370,13.5,6,1774,141,14,17,9,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
37,41942.9,1.94234,3384.586575,3.22648,1676.55,1.65470676199157,4.11669075593333,1232,2175,7.95,25.64,40866.4,12.5244,499.12,21.3267,0,2.59,2.6,4.0,3002M,4,3002M,20,3640,10,88,326,46,13,5400,7.7,6,1412,130,9,12,9,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
72,40412.2,1.95862,2988.105401,3.23577,1605.85,1.74089974414361,4.12239713844444,1173,2065,6.11,21.73,39478.4,12.97,515.9,23.82,0,2.5,2.5,4.0,3487M,4,3487M,18,6900,10,88,485,46,19,7360,8.9,6,729,155,14,22,9,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
39,41679.9,1.97244,3053.941155,3.26211,1811.74,2.08902751877947,4.19591858137037,1292,2140,6.23,23.71,40666.3,12.59,486.54,21.5156,0,2.54,2.54,4.0,3328M,4,3328M,23,3460,11,86,338,50,54,7940,8.8,6,1438,138,14,12,9,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
90,40237.7,1.99004,3525.170552,3.1786,1701.54,1.84294722335894,4.02888207917778,1255,2278,5.44,15.79,39220.9,13.0489,513.8,23.7456,0,2.2,2.15,3.93,3180M,3.93,3180M,4,6360,9,86,358,49,117,9120,11.6,8,2893,133,12,3,8,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
79,40546,2.00212,3549.534352,3.16948,1660.38,1.86884217389071,4.16994509511852,1260,1995,12.04,41.83,39578.6,12.9489,522.19,21.9733,0,3.58,3.62,3.91,3986M,3.91,3986M,20,6530,11,88,411,45,60,8610,13.6,6,1271,129,13,13,8,4,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
