TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,, THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,, CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
113,11166.9,6.87335,4182.83181,1.53123,651.294,0.873499753084903,1.99249668675185,368,878,2.2,13.79,, 10949.1,63.9222,3590,45.1778,0,1.96,1.91,, 1.88,2074M,1.88,2074M,9,5620,2,37,451,26,81,2982,4.77,2,1522,196,14,21,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
103,10703.2,6.95652,3950.564434,1.51049,749.925,0.791008500885139,1.93212299680741,367,1015,13.18,29.38,, 9642.07,57.3067,4290,48.7388,0,28.9,28.9,, 1.8900000000000001,3474M,1.89,3474M,9,4751,2,38,429,26,58,1550,4.87,2,1251,176,14,22,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
124,11289.5,6.96059,3798.716651,1.53753,702.513,0.861262533741982,1.94490006707407,436,920,4.86,21.96,, 11064.4,63.2678,1590,44.2344,0,2.2,2.15,, 1.9100000000000001,2473M,1.91,2473M,12,5960,2,37,468,25,67,2854,5.95,2,1583,197,15,27,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
107,10855.5,7.22547,3546.708728,1.477,711.04,0.843505349719075,1.90060768550741,449,1059,1.67,15.12,, 10648.4,65.7478,3590,47.2433,0,2.19,2.14,, 1.83,3691M,1.83,3691M,10,4805,2,40,431,23,75,2812,3.51,2,1099,186,15,24,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
121,11276.4,7.24344,4430.803975,1.53413,681.332,0.931575435896296,1.92989573467037,461,874,0.58,16.67,, 11063.9,63.2833,1100,44.3011,0,2.35,2.31,, 1.9,2281M,1.9,2281M,11,5810,2,38,456,23,73,2175,1.71,2,1554,177,14,25,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
129,11100.6,7.27163,4810.644774,1.50418,628.027,0.81937993765497,1.9555773628963,368,832,1.86,2.23,, 10882.8,64.3322,1420,44.2344,0,2.2,2.17,, 1.88,2267M,1.88,2267M,12,4460,2,36,449,27,54,3102,3.41,2,1518,152,15,23,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
106,10447.7,7.29296,3570.272775,1.4696,733.295,0.828982780983925,1.9135006289037,404,1047,13.66,20.99,, 10575.9,66.1933,3100,47.1089,0,2.16,2.13,, 1.82,3751M,1.82,3751M,10,4717,2,40,429,26,79,2473,3.8,2,1146,159,15,24,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
54,11337.7,7.32314,3808.686878,1.56239,648.496,0.963485044275664,1.99721661057778,584,752,3.64,20.07,, 11134.1,62.8611,2990,45.2789,0,2.01,1.97,, 1.94,3206M,1.94,3206M,9,4418,1,36,421,30,101,1298,8.3,2,1309,240,15,32,1,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
48,11206.6,7.36008,3650.045201,1.58945,1021.98,0.877786851568005,2.05991119224074,813,1187,2.07,32.92,, 10985.9,63.6478,3590,47.6067,0,2.08,2.04,, 1.96,3241M,1.96,3241M,7,3148,2,38,395,30,89,1972,7.9,2,784,157,13,22,3,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
133,11297.5,7.40997,3400.438283,1.56294,783.471,0.86254935862963,1.9718297432037,448,948,6.01,20.08,, 11076.2,63.2,3090,48.13,0,2.23,2.21,, 1.9100000000000001,2595M,1.91,2595M,12,4943,2,40,432,26,54,2190,1.04,2,1672,144,16,23,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
115,10803.7,7.44264,4187.65959,1.48002,698.055,0.859623838948611,1.87311687117778,464,825,2.44,9.22,, 10586.5,66.1333,4600,49.3067,0,2.17,2.11,, 1.83,1790M,1.83,1790M,10,5619,2,39,459,29,80,2868,2.89,2,1399,185,14,20,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
