Trial,memoryRequest,cpuRequest,gc,virtualized,shareclasses,aggressive,Instances,Throughput,Responsetime,MEM_MEAN,CPU_MEAN,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS
76,3701,3.8,gencon,FALSE,TRUE,FALSE,1,194.367,902.667,634.421,2.08557,1.72490250554444,2.43405812766484,585,702,3.8,3701.0M,3.8,3701.0M,0
84,3831,4,gencon,FALSE,TRUE,TRUE,1,179.267,995.444,650.846,2.22614,1.88316933836667,2.54922804185556,549,695,4,3831.0M,4,3831.0M,0
64,3570,3.9,balanced,FALSE,TRUE,FALSE,1,174.6,1039,617.195,2.14052,1.7406098247963,2.48463527579338,559,669,3.9,3570.0M,3.9,3570.0M,0
79,4094,3.9,gencon,FALSE,TRUE,TRUE,1,173.7,1049.67,630.143,2.13733,1.74267876314074,2.4687095895477,567,707,3.9,4094.0M,3.9,4094.0M,0
61,3765,3.9,balanced,FALSE,TRUE,FALSE,1,172.522,1049.89,639.166,2.13453,1.81085029071852,2.47550457859114,593,701,3.9,3765.0M,3.9,3765.0M,0
66,3127,3.9,optthruput,FALSE,TRUE,FALSE,1,171.044,1081.22,643.904,2.17347,1.89536565988889,2.50099591262334,547,712,3.9,3127.0M,3.9,3127.0M,0
55,4089,4,optthruput,FALSE,TRUE,FALSE,1,169.711,1081.22,619.244,2.21953,1.86441621038519,2.52875676983333,559,677,4,4089.0M,4,4089.0M,0
65,3549,3.8,optthruput,FALSE,TRUE,FALSE,1,169.411,1056.56,617.727,2.11809,1.7829956205963,2.43103008720964,543,686,3.8,3549.0M,3.8,3549.0M,0
95,4092,4,gencon,FALSE,TRUE,TRUE,1,164.467,1139.22,613.982,2.22,1.89312516224815,2.58641069750008,546,687,4,4092.0M,4,4092.0M,0
34,3437,3.6,optavgpause,FALSE,TRUE,FALSE,1,162.833,1138.33,629.763,2.00699,1.70189535948519,2.38711876292214,566,709,3.6,3437.0M,3.6,3437.0M,0
71,3435,3.8,optthruput,FALSE,TRUE,FALSE,1,162.489,1126.44,605.656,2.10328,1.75468346725556,2.47267506196698,508,687,3.8,3435.0M,3.8,3435.0M,0
12,4034,4,balanced,FALSE,TRUE,FALSE,1,162.311,1160.56,601.238,2.20998,1.93787349368148,2.56175252544618,532,706,4,4034.0M,4,4034.0M,0
86,3811,4,gencon,FALSE,TRUE,TRUE,1,162.267,1123.89,650.865,2.19978,1.85759830881852,2.53271597468518,580,714,4,3811.0M,4,3811.0M,0
97,3962,4,gencon,FALSE,TRUE,TRUE,1,160.744,1169.89,601.517,2.21739,1.90960983079259,2.57740144809259,528,696,4,3962.0M,4,3962.0M,0
89,3871,3.9,gencon,FALSE,TRUE,TRUE,1,160.4,1139.22,592.51,2.15722,1.74014315974444,2.49235606381852,520,692,3.9,3871.0M,3.9,3871.0M,0
11,3928,4,balanced,FALSE,TRUE,FALSE,1,158.511,1182,581.743,2.24768,2.03131325727037,2.57078796570115,495,705,4,3928.0M,4,3928.0M,0
10,4037,4,balanced,FALSE,TRUE,FALSE,1,158.422,1206.11,601.906,2.21874,1.86554255131111,2.5740864049,462,698,4,4037.0M,4,4037.0M,0
83,3451,3.8,gencon,FALSE,TRUE,TRUE,1,158.022,1206.56,612.103,2.10738,1.80968591098889,2.42291345926667,560,675,3.8,3451.0M,3.8,3451.0M,0
33,3799,4,balanced,FALSE,TRUE,FALSE,1,156.656,1186.56,638.769,2.22711,1.93705403287037,2.54165328781111,572,726,4,3799.0M,4,3799.0M,0
32,3807,3.7,balanced,FALSE,TRUE,FALSE,1,156.189,1220.22,589,2.06769,1.75518180766667,2.41343004633082,533,620,3.7,3807.0M,3.7,3807.0M,0
92,3863,3.9,gencon,FALSE,TRUE,TRUE,1,156.067,1172.89,619.78,2.19531,1.87710920426667,2.51980012746296,546,697,3.9,3863.0M,3.9,3863.0M,0
21,3664,4,balanced,FALSE,TRUE,FALSE,1,155.6,1171.22,623.569,2.2275,1.94174436563704,2.59279406646984,572,654,4,3664.0M,4,3664.0M,0
16,2953,3.8,metronome,FALSE,TRUE,FALSE,1,155.311,1214.67,601.858,2.12702,1.82024627324445,2.46117075950366,503,667,3.8,2953.0M,3.8,2953.0M,0
57,3933,3.6,optthruput,FALSE,TRUE,FALSE,1,153.4,1237.44,589.732,2.0433,1.72971346642593,2.35461943930725,543,658,3.6,3933.0M,3.6,3933.0M,0
54,3920,3.8,optthruput,FALSE,TRUE,FALSE,1,152.733,1205.44,640.774,2.10738,1.70697012734815,2.44314672038148,554,729,3.8,3920.0M,3.8,3920.0M,0
35,3855,3.4,optavgpause,FALSE,TRUE,FALSE,1,151.478,1208.11,543.617,1.90917,1.66040798704815,2.24154084253561,448,697,3.4,3855.0M,3.4,3855.0M,0
42,4012,3.9,balanced,FALSE,TRUE,FALSE,1,149.978,1268.56,597.696,2.17157,1.77261560618148,2.5110607102867,529,682,3.9,4012.0M,3.9,4012.0M,0
4,1493,3.5,optthruput,FALSE,FALSE,FALSE,1,149.333,1232.33,491.137,1.98318,1.71955089647407,2.30306681407044,484,513,3.5,1493.0M,3.5,1493.0M,0
60,1833,3.7,metronome,FALSE,TRUE,FALSE,1,149.178,1251.44,568.999,2.0722,1.80160129894815,2.41755914084926,558,624,3.7,1833.0M,3.7,1833.0M,0
13,4057,4,balanced,FALSE,TRUE,FALSE,1,148.233,1286.44,572.094,2.24373,1.89188739291111,2.60928065558889,522,717,4,4057.0M,4,4057.0M,0
56,4092,3.8,optthruput,FALSE,TRUE,FALSE,1,147.567,1266.78,614.155,2.12662,1.80091134544815,2.49911958933401,535,704,3.8,4092.0M,3.8,4092.0M,0
99,3277,3.7,optthruput,FALSE,TRUE,FALSE,1,147.311,1305.33,584.082,2.07174,1.83359568643333,2.45212266200124,493,655,3.7,3277.0M,3.7,3277.0M,0
98,3595,3.8,gencon,FALSE,TRUE,TRUE,1,147.1,1284.56,587.395,2.15139,1.82428965162593,2.47865789540743,483,704,3.8,3595.0M,3.8,3595.0M,0
63,3998,3.9,balanced,FALSE,TRUE,FALSE,1,147.067,1291.89,581.861,2.17379,1.87125756829259,2.52519199711485,488,653,3.9,3998.0M,3.9,3998.0M,0
24,3691,4,balanced,FALSE,TRUE,FALSE,1,146.7,1290.67,613.733,2.24321,1.97957693427778,2.56951391436296,516,767,4,3691.0M,4,3691.0M,0
