Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,WEB_ERRORS,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,235.083,1144.33,301.387,2.1393,1.9299093347763,2.30182334821027,299,306,40.9251,42.5042,3.63,390.49M,3.63,390.49M,0,9.2,10.33,0.4,2.14
2,243.567,1151.5,319.473,2.20893,1.99394915151226,2.44517654322999,317,323,40.6426,46.2575,3.51,467.67M,3.51,467.67M,0,10.18,12.44,0.39,3
3,110.167,2888.33,336.393,0.835911,0.765103994042123,0.963424507550178,331,346,32.5697,40.7545,1.14,590.5699999999999M,1.14,590.5699999999999M,0.5,2.61,2.96,0.75,4.22
4,302.7,857.5,381.04,1.72607,1.57487045036376,1.8585780414597,379,383,41.1023,41.1269,4.62,887.2M,4.62,887.2M,0,1.55,1.88,0.32,2.44
5,293.417,898.333,332.765,2.01565,1.75909562113125,2.24321982503066,331,334,40.8362,43.3964,5.1,516.31M,5.1,516.31M,0,1.37,1.42,0.2,3.71
6,165.383,1825.17,360.82,1.27002,1.11458485760936,1.36949921005814,357,365,40.9974,36.7645,1.87,736.69M,1.87,736.69M,0,4.33,5,0.45,0.9
7,230.3,1221,394.129,1.58429,1.43296715108332,1.7179450457584,390,407,41.2046,40.1428,2.41,1019.77M,2.41,1019.77M,0,1.63,2,0.72,1.53
8,299.267,877.5,375.718,1.79198,1.56065672129603,1.94200727327493,373,377,41.0125,41.2365,4.21,883.4M,4.21,883.4M,0,1.78,2.17,0.38,3.11
9,296.45,888.167,372.796,1.89956,1.67864961981168,2.09565515750616,370,382,40.9922,44.1901,3.67,821.79M,3.67,821.79M,0,1.41,1.89,0.42,1.64
10,301.167,867.833,388.582,1.89621,1.68388776022875,2.1384015944051,385,409,40.8183,44.7756,4.57,994.49M,4.57,994.49M,0,1.83,2.43,0.83,2.86
11,305.05,855,397.188,1.78675,1.52058093000375,1.9840343498654,392,401,41.7033,44.8864,4.12,1000.84M,4.12,1000.84M,0,2.42,3.1,1.05,3.19
12,290.383,912.667,359.896,2.11204,1.89630141797241,2.3153789916111,353,415,40.8863,45.7114,4.05,730.37M,4.05,730.37M,0,2.75,3.79,1.31,1.89
13,279.183,962.5,390.14,1.83047,1.59552969056996,2.08112411614957,388,392,41.4849,44.7776,3.14,985.67M,3.14,985.67M,0,4.43,5.84,0.35,6.65
14,296.033,879.167,403.234,1.91704,1.66594408241392,2.19410633437922,398,408,41.243,45.1671,4.07,1004.8000000000001M,4.07,1004.8000000000001M,0,3.53,2.92,1.07,7.89
15,297.6,868.667,357.112,1.8059,1.64341822340943,1.95090330665568,354,359,41.2117,42.2073,4.8,748.34M,4.8,748.34M,0,1.66,1.32,0.48,1.16
16,259.617,1054.67,351.74,2.01741,1.82053956099684,2.17591719582856,349,353,41.1714,45.5816,3.21,723.88M,3.21,723.88M,0,2.76,3.54,0.51,2.44
17,298.067,867,390.701,1.91374,1.67698064502829,2.19908795421764,385,439,41.0707,43.3796,4.81,965.07M,4.81,965.07M,0,2.71,3.71,1.56,6.19
18,302.433,858.333,399.461,1.82654,1.62527204841471,2.07369679544113,386,413,41.0837,40.7264,4.95,963.66M,4.95,963.66M,0,2.99,1.86,3.42,3.08
19,305.017,855,381.145,1.89149,1.59526315691094,2.17389633464819,379,382,40.9841,43.207,4.3,903.6M,4.3,903.6M,0,2.03,2.76,0.21,8.71
20,305.8,851.833,371.757,1.83755,1.61669459391463,2.07243518484608,369,373,41.6118,42.5206,3.79,867.04M,3.79,867.04M,0,0.54,0.65,0.21,3.75
21,290.6,913,377.298,1.91199,1.60036586117117,2.14724349824814,372,390,41.1545,39.6957,3.14,853.84M,3.14,853.84M,0,2.74,3.71,1.22,6.68
22,303.55,857.667,392.759,1.77196,1.6018142324445,1.91086619604788,388,396,41.2886,39.1896,3.46,995.83M,3.46,995.83M,0,1.4,1.35,0.44,0.71
23,305.033,848.333,367.487,1.72717,1.54481864848245,1.89398101069614,364,369,41.2561,39.1113,3.78,811.15M,3.78,811.15M,0,1.76,1.6,0.52,2.99
24,277.783,969.167,357.238,1.89125,1.63169829656563,2.12497923006761,355,358,41.2114,40.9722,2.94,704.6800000000001M,2.94,704.6800000000001M,0,1.8,1.57,0.16,6.24
25,299.233,875.667,358.793,1.92444,1.69578416466966,2.16052262992288,349,473,41.064,42.2873,3.86,705.78M,3.86,705.78M,0,3.01,4.23,2.91,4.52
26,303.983,856.333,377.346,1.8452,1.56295257622479,2.10907335985423,375,379,41.0959,41.5016,3.83,863.65M,3.83,863.65M,0,2.17,2.18,0.34,8.22
27,308,844.667,376.743,1.91767,1.69399240740995,2.09364659025993,368,383,40.9589,40.6347,4.41,822.14M,4.41,822.14M,0,0.56,0.79,1.94,2.73
28,55.8333,5966.33,300.266,0.864136,0.794051299537586,0.969833876454946,259,551,40.7012,30.7651,1.08,346.15999999999997M,1.08,346.15999999999997M,31.3333,2.88,3.57,20.02,1.69
29,310.733,836.5,385.908,1.75179,1.60289413005279,1.88415879852028,380,390,41.0143,38.3086,4.46,790.69M,4.46,790.69M,0,0.34,0.37,1.09,0.92
30,309.067,840.167,358.957,1.75603,1.50304702027115,1.97729296459682,355,362,40.9812,39.5029,4.72,740.63M,4.72,740.63M,0,1.4,1.79,0.76,2.19
31,309.15,839.5,349.939,1.74984,1.59962460930229,1.88757613844121,339,366,40.9786,39.4288,4.38,622.94M,4.38,622.94M,0,0.99,0.88,2.75,1.56
32,308.9,841.833,346.969,1.87793,1.545632895105,2.12614385151363,342,359,41.0292,39.8538,4.62,649.04M,4.62,649.04M,0,0.35,0.41,0.9,6.17
33,289.1,912.833,340.907,1.95611,1.69420849684229,2.22174572398082,336,344,41.0514,43.7188,4.1,549.23M,4.1,549.23M,0,6.05,8.59,1.11,6.09
34,310.867,829.5,350.224,1.80609,1.63794483691687,1.95450501877797,345,400,40.7726,39.5919,5.02,656.24M,5.02,656.24M,0,2.03,4.22,1.49,1.76
35,304.483,858,343.967,1.94612,1.62029428090914,2.23274664756545,339,363,40.6114,42.1785,4.84,613.3299999999999M,4.84,613.3299999999999M,0,1.13,1.38,1.3,5.54
36,308.883,839.833,354.076,1.85917,1.63723475240822,2.09556716174202,351,356,40.7034,39.1855,5,716.99M,5,716.99M,0,2.93,3.54,0.48,7.28
37,310.4,836.5,360.31,1.76403,1.59819441031968,1.91928835893849,349,378,40.8132,40.0586,5.09,684.12M,5.09,684.12M,0,0.44,0.51,3.01,0.88
38,301.533,866.5,344.188,2.13568,1.78315684222975,2.47411104476258,326,364,40.7632,41.3051,4.99,551.23M,4.99,551.23M,0,1.69,2.46,5.4,7.78
39,310.15,838,344.582,1.79719,1.58590564225948,1.98973762460922,341,379,40.8889,39.5843,4.53,619.99M,4.53,619.99M,0,0.23,0.27,0.77,1.2
40,285.95,912.333,326.127,2.05693,1.86203158488133,2.25874201907898,319,332,40.8111,43.0827,4.34,464.15M,4.34,464.15M,0,5.86,5.59,1.9,2.21
41,249.517,1095,332.623,1.99527,1.75954159367509,2.1932997828418,331,334,40.9322,41.0897,3.13,487.67M,3.13,487.67M,0,4.38,5.28,0.21,3.65
42,297.133,888.833,347.34,1.86418,1.64778651443953,2.05917770220143,338,444,40.6875,45.6715,4.75,615.5M,4.75,615.5M,0,6.26,8.49,5.45,2.24
