Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci,cpu_req,mem_req,cpu_lim,mem_lim
1,597.65,259.5,544.687,1.67156,1.41205237393964,1.90125301281165,519,579,0,20,10.85,17.04,4.46,8.4,2.87,669,3.5,1024
2,531.667,314.167,538.866,1.56055,1.29468706040258,1.75141759018861,532,546,0,11,8.61,14.49,1.11,9,2.87,669,3.5,1024
3,583.433,263.5,551.727,1.65435,1.287897153015,1.8166664958864,518,579,0,41,6.44,7.14,4.34,4.86,2.87,669,3.5,1024
4,572.2,280.333,524.289,1.6257,1.37799518862237,1.92260908125439,470,580,0,33,11.67,18.39,11.2,11.26,2.87,669,3.5,1024
5,561.533,285.833,570.111,1.58613,1.3381849681071,1.75548783566889,542,599,0,12,12.67,15.35,3.52,6.72,2.87,669,3.5,1024
6,560.883,286.833,583.001,1.60754,1.41060237923885,1.82303324332215,563,599,0,46,9.9,15.1,3.05,4.29,2.87,669,3.5,1024
7,470.067,399.833,494.463,1.43874,1.21105604741394,1.7168039522757,467,509,0,25,18.69,31.63,3.27,8.81,2.87,669,3.5,1024
8,598.883,256.333,536.69,1.73211,1.4790594723289,1.91402325983447,519,555,0,36,7.96,12.24,3.52,6.96,2.87,669,3.5,1024
9,570.483,281.167,527.615,1.59861,1.41300993838433,1.8745653184521,507,548,0,46,5.44,8.47,3.38,8.99,2.87,669,3.5,1024
10,558.633,290.833,524.45,1.5843,1.22314030492123,1.84507050220488,472,575,0,31,12.83,17.6,10.33,13.73,2.87,669,3.5,1024
11,587.183,266.833,539.66,1.59384,1.275959405505,1.89917191741184,474,600,0,39,7.71,11.49,11.79,10.17,2.87,669,3.5,1024
12,539.083,305,540.652,1.47428,1.24788996029338,1.62262720738038,523,560,0,21,6.32,13.3,2.56,4.69,2.87,669,3.5,1024
13,550.817,295.667,526.92,1.60756,1.40095346615644,1.78223220172529,473,568,0,19,5.17,8.59,8.66,5.76,2.87,669,3.5,1024
14,556.883,290.833,514.434,1.58547,1.434535997278,1.79450823608872,478,550,0,36,12.83,21.17,6.48,8.45,2.87,669,3.5,1024
15,584.267,269.333,503.844,1.51688,1.23273459105271,1.79286070418634,484,521,0,27,10.63,17.62,3.66,9.86,2.87,669,3.5,1024
