Trial,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,WEB_ERRORS,MAXINLINELEVEL
1,629.317,261.667,548.374,1.30566,1.10385848185376,1.5581444264701,533,566,19.6986,27.413,0,33
2,660.4,234.333,550.235,1.24091,1.11104253010645,1.49989894540674,535,570,19.7828,27.1062,0,94
3,625.733,266.333,534.537,1.3275,1.17554755481249,1.54690336186554,524,543,19.7387,27.7853,0,51
4,611.85,278.667,547.553,1.29506,1.15353957733722,1.51761781760351,525,562,19.7553,27.6309,0,28
5,629.15,260.667,552.748,1.33122,1.18061941742532,1.54086642195997,528,576,19.7955,27.4572,0,64
6,654.9,239.667,573.536,1.33339,1.08763035568841,1.66107019878014,544,591,19.805,27.4752,0,66
7,610.05,276.833,561.315,1.33022,1.1617525910414,1.55100435860629,539,594,19.7651,27.5263,0,149
8,642.65,249,545.922,1.29865,1.14059573567426,1.55814570166892,527,568,19.7618,28.0248,0,66
9,619.317,269.667,555.204,1.29308,1.12364181567214,1.56641896472095,535,565,19.7831,27.7985,0,101
10,649.333,243.167,557.02,1.28359,1.13306101832071,1.55614080012895,544,575,19.8193,27.725,0,34
11,631.167,259.167,551.623,1.28665,1.15452474155285,1.51170995694306,524,581,19.7934,27.3893,0,106
12,624.85,266.667,547.552,1.32035,1.18183662802307,1.54664019122217,538,558,19.8269,29.145,0,102
13,621.7,270.667,541.606,1.26588,1.11402592643581,1.47848021633334,528,550,19.7765,27.6087,0,138
14,610.383,279.667,550.071,1.2847,1.14250551310478,1.52851265970015,516,569,19.9356,27.3621,0,94
15,603.45,285.833,548.317,1.30106,1.14333361838552,1.49485884730488,533,560,19.8536,27.5378,0,126
16,633.15,258.667,541.361,1.29433,1.13202381898125,1.57745704443349,525,554,19.7806,27.4992,0,4
17,647.117,246.667,545.603,1.2592,0.990012964150068,1.48600165142657,536,559,19.7593,27.5539,0,82
18,639.083,251.833,552.682,1.26991,1.10785873050971,1.50729728989143,541,566,19.8392,27.5653,0,118
19,626.833,268.667,545.008,1.30129,1.18438301549422,1.55308861819208,515,567,19.7945,27.3575,0,82
20,659.133,242.5,544.973,1.3074,1.09681879055825,1.5564699631913,532,557,19.8827,28.8584,0,48
21,615.967,275.833,554.536,1.3059,1.15554728656813,1.5673738155724,528,580,19.8807,27.973,0,72
22,601.65,290.667,542.938,1.27809,1.10604862047701,1.56941189141574,532,550,19.9128,27.9635,0,44
23,622.717,268,552.443,1.32679,1.16787917736541,1.53911864638791,525,573,19.8738,27.8634,0,10
24,623.717,264.5,546.901,1.31816,1.17490306025251,1.54760491262986,535,569,19.9256,27.4717,0,53
25,660.65,236.333,552.581,1.28528,1.173501068556,1.51513482912748,535,572,19.9377,27.762,0,87
26,635.883,255.833,537.971,1.33103,1.18372262448603,1.6305592952495,522,551,19.8868,27.6961,0,89
27,649.5,243.333,537.43,1.27968,1.12752879041058,1.54809724120525,526,544,19.8949,27.7936,0,121
28,634.317,256.833,537.173,1.30695,1.17163515418631,1.49922556753757,521,553,19.8849,27.6248,0,111
29,647.95,247.333,568.779,1.28412,1.14702406287661,1.52908412430986,540,596,19.9205,28.0993,0,79
30,603.583,285.333,539.036,1.27437,0.962699858237843,1.53578683378875,523,562,19.8792,27.6186,0,62
31,617.8,271.667,544.569,1.29311,1.11857115280788,1.5458614780071,531,557,19.924,27.592,0,96
32,640.533,252.667,534.375,1.27641,1.08498873917715,1.58242497212719,526,550,19.9777,27.4269,0,25
33,628.783,262.667,542.264,1.32127,1.16138515301312,1.58822984557335,532,552,19.7058,27.4338,0,45
34,653.45,243.833,536.091,1.26916,1.09015702890692,1.52836244078856,522,549,19.7052,27.5561,0,54
35,643.783,247.833,557.985,1.34487,1.19278598642907,1.56858652428134,548,574,19.7205,27.6223,0,73
36,647.067,245.833,538.369,1.30541,1.16093612691218,1.59683480178046,527,550,19.7253,27.584,0,87
37,630.867,261.667,543.07,1.32021,1.05593940242193,1.56884314276993,527,560,19.7831,28.2577,0,65
38,628.517,262.5,561.231,1.29552,1.14732711199348,1.56251314661954,542,582,19.7837,27.9642,0,35
39,614.533,276.5,521.366,1.3041,1.17537950522076,1.5205060454193,491,554,19.7624,28.1006,0,19
40,596.067,292.333,563.865,1.27817,1.09068480769302,1.556863857789,547,587,19.7643,27.8785,0,57
41,610.783,280.667,545.897,1.32191,1.16887718619191,1.59781382771329,534,555,19.7991,27.3725,0,44
42,655.433,239,542.839,1.29175,1.14925124583519,1.5097579408004,531,557,19.8662,27.6375,0,37
43,636.833,253.833,561.279,1.31827,1.1470957455726,1.56503616351842,548,574,19.93,27.5061,0,40
44,653.333,239.5,561.073,1.32811,1.17261104732461,1.57186134658019,541,596,19.8964,27.4948,0,23
45,628.583,262.167,536.911,1.34123,1.18061126429561,1.56906977208982,526,549,19.9053,27.4809,0,16
46,667.633,232.5,543.917,1.33408,1.1103001791204,1.59322229390226,528,559,19.8794,28.7084,0,23
47,544.15,351,534.976,1.31323,1.13773058054745,1.55599113359208,517,546,19.8483,28.4058,0,2
48,629.833,260.5,543.268,1.28996,1.13116557122805,1.53258006194233,535,554,19.9027,28.2216,0,21
49,597.817,290.833,536.428,1.2833,1.12651424880863,1.59811925065993,506,555,19.8772,27.7563,0,29
50,641.75,253.333,552.737,1.29425,1.13013718658043,1.5201120042601,535,573,19.9146,27.957,0,10
51,644.967,251.167,534.164,1.32368,1.16078879888518,1.53182620285029,521,557,19.8919,27.9552,0,29
