Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,WEB_ERRORS,MAXINLINELEVEL,thrpt_ci,resp_ci,cpu_ci,mem_ci
1,307.85,824.167,491.876,0.666978,0.554686059049764,0.818354265159309,389,541,0,19, ,1.71,2,11.14,2.67
2,297.183,884.667,462.158,0.712834,0.584811682033419,0.872855310521523,418,497,0,44, ,17.84,25.78,8.34,5.21
3,312.183,809.167,491.023,0.720373,0.625321378697835,0.931681005352716,488,495,0,40, ,2.56,3.83,0.49,3.35
4,323.317,769.167,446.061,0.739642,0.636043646869157,0.940766311854441,433,463,0,14, ,3.98,4.91,2.98,1.91
5,324,766.833,468.267,0.703387,0.565435917127214,0.933042532717318,409,504,0,12, ,1.82,2,9.4,5.93
6,312.817,812.667,480.917,0.74884,0.641755365238628,0.958736714547509,478,482,0,33, ,4.05,5.23,0.12,4.2
7,316.667,791.833,473.529,0.701515,0.610546904784136,0.890885157687943,448,499,0,37, ,2.12,2.5,5.95,3.4
8,305.483,840.5,472.557,0.716015,0.589098922329806,0.949935274590721,429,512,0,16, ,7.94,10.87,9.48,3.66
9,295.333,839.667,456.157,0.67653,0.543857585435634,0.809333982624038,447,463,0,47, ,14.45,9.7,1.7,4.27
10,320.483,790.667,466.34,0.706467,0.595625696090163,0.890072394400304,456,474,0,28, ,5.32,7.64,1.22,4.4
11,314.317,796.667,461.449,0.765043,0.63432652077943,0.984253181259255,454,466,0,9, ,2.91,3.55,1.15,4.67
12,317.767,783.167,452.549,0.745365,0.63696750422556,0.922727352590146,449,459,0,10, ,0.77,1.45,0.69,3.65
13,300.85,856.167,423.511,0.639391,0.513529121555447,0.836729177169802,416,431,0,22, ,5.94,7.26,1.42,3.11
14,311.633,798.5,447.739,0.739381,0.64376681554431,0.902470059390776,433,470,0,14, ,1.37,1.57,3.4,1.63
15,314.817,800.833,462.843,0.698283,0.579276628829594,0.896975940462022,425,513,0,25, ,2.69,3.6,8.82,6.52
16,294.267,879.833,415.245,0.657183,0.563122508188526,0.820100670122241,391,445,0,9, ,3.57,4.41,4.54,2.58
17,300.25,858,447.786,0.690389,0.583236530713058,0.828854706453217,396,487,0,15, ,3.1,4.3,10.21,2.22
18,261.5,1023.17,418.798,0.589924,0.490225303047178,0.738809541050072,392,434,0,19, ,9.75,10.94,3.42,2.4
19,283.167,940,437.847,0.64823,0.557887708570634,0.794972545262837,373,496,0,12, ,12.36,17.73,14.46,3.31
20,298.35,847.167,448.655,0.758227,0.588538468117821,0.98993250776575,435,455,0,24, ,13.62,11.96,1.34,5.9
21,304.85,839.667,390.253,0.674954,0.564358744794417,0.831358234928766,366,431,0,30, ,6.75,10.99,6.4,2.75
22,314.5,799.333,452.265,0.675143,0.552426691365196,0.89055150700032,446,458,0,10, ,2.59,3.32,0.94,6.91
23,304.15,842.667,464.84,0.647297,0.548970433115563,0.805512512475054,439,482,0,18, ,2.2,3.28,4.16,3.89
24,309.067,823.667,424.631,0.683771,0.58738096195809,0.887829927281119,419,429,0,9, ,4.37,6.31,1.05,2.83
25,309,824.167,438.683,0.687767,0.578687153053168,0.931269749226088,414,463,0,13, ,3.46,4.55,5.88,6.53
26,314.9,802.5,441.519,0.701867,0.579652369884788,0.906861985070386,428,446,0,11, ,2.88,4.12,1.31,6.67
27,316.317,796.167,442.864,0.7507,0.628682007128276,0.975504650337111,430,468,0,21, ,2.04,2.31,3.09,6.79
28,314.65,790.333,457.965,0.716085,0.602926471363315,0.883147153985376,425,491,0,16, ,1.85,2.61,7.44,4.39
