Trials,Throughput,Responsetime,TOTAL_PODS_MEM,TOTAL_PODS_CPU,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,CLUSTER_MEM%,CLUSTER_CPU%,WEB_ERRORS,MAXINLINESIZE,thrpt_ci,resp_ci,cpu_ci,mem_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM
1,654.967,232.167,605.168,1.15116,0.964017416697411,1.322013324408,589,627,34.8536,28.0073,0,40,3.11,7.47,3.06,1.56,2.87,669,3.5,1024
2,648.05,237.667,621.568,1.18166,0.90810521476125,1.39893689777469,602,644,34.9108,28.3402,0,75,4.53,9.38,2.32,3.06,2.87,669,3.5,1024
3,626.483,250.167,553.638,1.16178,0.849050309210207,1.42441530596998,541,571,34.8073,27.7547,0,25,4.81,11.75,1.45,5.13,2.87,669,3.5,1024
4,632.267,250.5,582.892,1.17493,0.927377168422143,1.39546405054602,573,593,34.8771,28.2062,0,23,5.48,11.14,0.98,3.36,2.87,669,3.5,1024
5,631.6,247.167,642.763,1.14746,0.8789652971775,1.36256355634395,631,657,34.9539,27.8138,0,96,3.51,5.78,1.56,2.94,2.87,669,3.5,1024
6,624.117,254,585.085,1.18252,0.991112576481488,1.40459381273347,576,593,34.8186,27.686,0,10,5.08,12.2,0.51,3.14,2.87,669,3.5,1024
7,628.95,251.5,611.404,1.17424,0.921184047692467,1.38720640819286,595,621,34.5396,27.3405,0,51,5,10.05,1.59,2.06,2.87,669,3.5,1024
8,610.25,266.333,589.259,1.16517,0.904841861356238,1.4295613905384,570,609,34.254,28.0563,0,64,3.05,5.93,2.34,6.94,2.87,669,3.5,1024
9,640.083,243.167,622.247,1.173,0.97878130821672,1.38313911938583,613,635,33.8531,27.4425,0,55,6.63,13.6,0.69,3.1,2.87,669,3.5,1024
10,638.433,244,662.135,1.17522,0.91228182202707,1.42769034332029,656,666,33.9799,27.862,0,96,5.64,9.6,0.47,6.32,2.87,669,3.5,1024
11,640.567,245.5,600.762,1.11089,0.886138124339977,1.3197344767957,590,606,33.9829,26.8382,0,38,6.13,14.24,0.65,2.99,2.87,669,3.5,1024
12,661.867,224.667,633.617,1.17665,1.01061366432214,1.37188283713696,623,644,34.0474,27.6695,0,78,3.55,9.78,1.42,1.63,2.87,669,3.5,1024
13,637.55,247,626.923,1.19535,0.902533228136541,1.47864899957371,616,635,34.0752,27.4459,0,77,6.46,14.26,1.27,6.4,2.87,669,3.5,1024
14,626.767,252.833,632.676,1.17799,0.898383772424307,1.40200210685267,598,644,34.1444,27.0044,0,81,4.39,8.83,2.83,3.77,2.87,669,3.5,1024
15,641.133,241,577.569,1.17584,0.942031096512917,1.40969465835133,569,585,34.0907,27.968,0,38,4.96,11.45,1.17,2.03,2.87,669,3.5,1024
16,634.333,247.833,611.257,1.16796,0.930389934645,1.38621655061767,602,621,34.1097,27.3921,0,63,3.51,8.09,0.84,3.29,2.87,669,3.5,1024
17,648.2,233.167,582.168,1.15631,0.956966289135021,1.35476141823039,560,603,34.1115,26.9173,0,41,2.67,5.65,3.47,2.62,2.87,669,3.5,1024
18,616.75,257.667,656.683,1.13513,0.89733675498,1.36765745125131,644,661,34.2476,27.5128,0,86,3.88,6.39,1.07,2.67,2.87,669,3.5,1024
19,659.233,226.333,629.258,1.13691,0.84925294686375,1.33676750774736,617,649,34.2033,26.9353,0,67,3.85,7.68,1.4,2.14,2.87,669,3.5,1024
20,640.217,240.667,588.485,1.15735,0.884426363382301,1.34228601185705,575,608,34.1253,27.7292,0,67,3.56,8.63,1.77,2.94,2.87,669,3.5,1024
21,636.633,247.167,649.499,1.1735,0.945526634288475,1.36243229707799,628,666,34.4779,27.383,0,88,3.9,6.96,1.94,2.1,2.87,669,3.5,1024
22,661.75,225.667,602.376,1.15274,0.91620277016625,1.37381436174915,584,618,34.6234,27.6682,0,52,2.26,5.08,2.7,4.72,2.87,669,3.5,1024
23,654.3,231.667,605.737,1.13351,0.89550512608125,1.36282021914933,589,624,34.6542,27.3303,0,52,2.83,7.06,1.74,2.5,2.87,669,3.5,1024
24,660.567,223.667,597.011,1.2087,0.96382999862625,1.42677021861984,566,621,34.6969,27.6248,0,71,3.22,8.75,3.3,1.72,2.87,669,3.5,1024
25,642.65,239.5,620.577,1.16916,0.976756330135164,1.3902359866979,599,634,34.7574,27.3833,0,73,4.62,10.14,2.54,2.96,2.87,669,3.5,1024
26,622.817,258.333,593.783,1.09568,0.841359591242368,1.27088772150463,578,607,34.7571,26.5162,0,58,3.74,7.91,2.32,2.61,2.87,669,3.5,1024
27,650.783,235,595.463,1.11205,0.8296070764875,1.31851501824203,587,599,34.6573,26.9127,0,48,5.36,12.24,0.75,2.25,2.87,669,3.5,1024
28,643.65,241.5,666.619,1.1863,0.869673860911055,1.45991751306467,651,688,34.6856,27.2782,0,88,6.79,13.5,2.18,6.07,2.87,669,3.5,1024
29,649.45,236.667,644.476,1.19297,0.942887269693152,1.42955763860106,630,660,34.7205,27.2642,0,71,3.67,8.58,1.57,2.28,2.87,669,3.5,1024
30,634.317,245.5,588.323,1.16726,0.943831513788654,1.38731669553993,573,607,34.6891,27.7901,0,59,2.58,5.18,2.19,4.13,2.87,669,3.5,1024
31,631.883,249.833,592.285,1.20444,0.997710446076634,1.41723903146497,565,622,34.7427,28.1457,0,43,1.78,4.97,4.05,2.57,2.87,669,3.5,1024
32,647.767,235.333,629.179,1.15908,0.888790477333864,1.34690348684105,602,650,34.8349,27.3303,0,68,3.29,8.49,3.74,0.66,2.87,669,3.5,1024
33,621.317,259.5,623.549,1.18843,0.982545962348278,1.40265110651333,615,628,34.7552,27.4387,0,81,3.43,9.29,0.68,3.09,2.87,669,3.5,1024
34,637.833,245,641.371,1.11857,0.861766098420061,1.34639342412311,631,652,34.8194,27.3951,0,77,3.26,7.53,0.94,2.01,2.87,669,3.5,1024
35,628.85,253.667,607.077,1.17426,0.934518253661539,1.42679304723772,586,628,34.8084,27.1004,0,63,2.9,7.2,2.56,3.63,2.87,669,3.5,1024
36,621.617,255.833,578.108,1.13244,0.905730186453717,1.36214228256828,544,618,34.805,27.2886,0,31,3.98,8.41,5.7,5.48,2.87,669,3.5,1024
37,647.35,240.167,623.048,1.18357,0.982041680119569,1.40568088340549,615,628,34.8773,27.9511,0,71,4.15,9.58,1.07,4.21,2.87,669,3.5,1024
38,608.567,270.5,624.135,1.19039,0.983164197418995,1.39419783985835,615,639,34.9101,27.8919,0,82,3.52,6.97,1,1.61,2.87,669,3.5,1024
39,628.3,254.833,664.111,1.1605,0.9030941889825,1.42335949984433,644,690,35.0161,27.5276,0,92,3.73,6.31,2.85,4.51,2.87,669,3.5,1024
40,610.25,267.5,679.786,1.14929,0.901871205901852,1.3519367261628,662,692,35.044,27.5152,0,100,1.53,3.48,1.79,3.63,2.87,669,3.5,1024
41,608.467,268.5,604.259,1.20393,0.9501709648875,1.44488372142245,594,610,34.4664,27.8893,0,49,4.24,7.17,1.12,2.45,2.87,669,3.5,1024
