Trials,THROUGHPUT,RESPONSE_TIME,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,thrpt_prom_ci,rsp_prom_ci,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,STDEV_RESPTIME_MAX_WRK,WEB_ERRORS,thrp_wrk_ci,rsp_wrk_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,maxinlinelevel,quarkusthreadpoolcorethreads,quarkusthreadpoolqueuesize,quarkusdatasourcejdbcminsize,quarkusdatasourcejdbcmaxsize
1,38.5,25.5,35.5,27.5,6314,402.837,0.200527,0.157297098478816,0.306213516858219,373,417,115.51,124.57,297.932,86.1567,2250,164.4,1631.67,1.35,19.67,1.79,768.0M,1.79,768.0M,18,2,57,4,26
2,30.5,34.5,37,26,4939,340.732,0.186738,0.160921780544444,0.289155140422222,320,362,354.1,349.88,299.92,91.76,1290,102.44,0,0.54,15.77,1.43,477.0M,1.43,477.0M,40,2,20,7,45
3,37.5,27,36,27.5,5400,381.649,0.176539,0.15189994087037,0.321333445588889,333,449,186.35,188.24,299.067,79.8767,1960,109.75,160,0.87,14.23,2.64,1014.0M,2.64,1014.0M,41,3,23,7,31
4,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,1.94,420.0M,1.94,420.0M,32,2,31,10,50
5,48.5,20,45.5,21.5,2714,333.99,0.145693,0.023902835443817,0.16440796327037,107,356,39.3,63.53,295.665,82.715,2500,91.5,0,3.31,16.33,2.93,654.0M,2.93,654.0M,47,2,86,6,30
6,20,12,27,9,940,292.022,0.132709,0.080094638848148,0.238265214111111,170,361,1270.6,1270.6,298.06,75.9717,30200,671.28,20,1.2,13.08,2.8,325.0M,2.8,325.0M,17,2,94,7,30
7,36,27,54.5,17.5,61503,323.106,0.0982106,0.081147376378694,0.124071658764315,274,360,0,0,298.4,76.2617,1860,73.35,0,0.56,6.49,2.99,700.0M,2.99,700.0M,22,1,50,8,35
8,37,26,69,14.5,2364,271.794,0.0667811,0.001360452133334,0.271457441425926,0,362,68.68,48.87,298.905,70.6483,1130,77.83,0,1.14,13.75,2.01,837.0M,2.01,837.0M,22,1,22,3,30
9,21.5,11,49.5,67.5,5113,289.103,0.0976812,0.044884745948726,0.243982725226557,71,363,1270.6,1270.6,295.763,102.512,30060,507.88,8226.67,3.57,54.64,1.95,870.0M,1.95,870.0M,49,2,55,4,23
10,43.5,22.5,45,22,5034,387.571,0.194724,0.148244143822222,0.348149901670957,384,392,131.44,141.18,298.453,87.1467,1960,95.75,0,1.09,11.6,2.97,639.0M,2.97,639.0M,17,3,32,7,35
11,28,42,25,48,5542,448.697,0.192929,0.151394012122402,0.343047413033333,431,476,544.54,544.54,296.14,112.66,6440,762.59,1303.33,3.59,86.38,1.11,984.0M,1.11,984.0M,50,3,75,0,20
12,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,2.34,282.0M,2.34,282.0M,12,1,98,2,21
13,21.5,45.5,30,34.5,5637,436.017,0.195386,0.183533871577778,0.282239322803704,346,454,29.55,13.96,298.372,85.025,3050,212.06,503.333,0.86,21.78,2.4,889.0M,2.4,889.0M,9,2,67,10,25
14,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,1.59,273.0M,1.59,273.0M,30,2,100,5,41
15,36,27.5,39,25,6012,369.704,0.203485,0.157271472488889,0.338715931885185,366,379,211.77,207.92,299.19,85.3667,1950,132.36,2255,0.69,22.64,2.32,502.0M,2.32,502.0M,34,3,84,2,23
16,39.5,26,41,25,7316,407.919,0.189491,0.158648032596296,0.291627074840741,382,441,337.75,342.08,299.948,80.0983,2470,195.24,2126.67,0.96,17.23,2.7,888.0M,2.7,888.0M,24,1,4,9,27
17,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,3.2,368.0M,3.2,368.0M,12,2,56,5,39
18,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,1.27,550.0M,1.27,550.0M,38,2,48,0,33
19,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,1.73,764.0M,1.73,764.0M,46,1,3,4,27
20,1.5,127.5,51.5,2190.5,335071,329.7,0.200727,0.078378300641883,0.406163604852133,121,378,1270.6,1270.6,280.295,561.11,30470,903.09,12459100,6.02,70.65,2.16,960.0M,2.16,960.0M,26,3,67,6,23
21,28.5,34.5,28,35,5744,360.862,0.199716,0.172156429074074,0.32325967662963,354,368,111.46,128.9,299.21,86.8833,2480,202.8,2236.67,0.45,19.5,2.6,581.0M,2.6,581.0M,17,2,89,2,20
22,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,3.15,669.0M,3.15,669.0M,48,2,88,6,30
23,48,20,47,20.5,5374,404.253,0.254595,0.161906582644123,0.345818612769409,385,429,52.94,63.53,300.014,82.054,1700,141.79,1.66667,0.79,10.45,2.84,753.0M,2.84,753.0M,44,2,75,6,38
24,32.5,36.5,45,22,5907,408.956,0.196507,0.160176028370686,0.323940283044444,398,412,527.79,539.57,300.07,88.8883,2350,156.17,3133.33,1.45,14.11,2.78,760.0M,2.78,760.0M,44,2,73,8,38
