TRIALS, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
187,21079.9,2.56888,2212.97697,3.10742,1668.24,1.8587510450453,3.95927508632222,1081,1927,0.89,30.69,20616.3,24.8233,3310,30.5022,0,1.62,1.6,3.88,3016M,3.88,3016M,25,2550,4,53,479,29,24,1850,3.3,7,3376,140,6,42,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
182,21147.4,2.70106,2306.157209,3.22339,1338.77,1.91075980628363,4.13132154283704,1252,1754,2.97,9.28,20687.2,24.7467,3220,31.0611,0,2.19,2.18,4,3115M,4,3115M,26,2070,4,53,477,27,34,2750,3.2,7,3257,140,5,39,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
181,21281.6,2.82198,2235.747802,3.23386,1564.13,1.75654258412754,4.11543309381111,1106,1942,4.16,18.26,20843.5,24.5589,1120,29.8711,0,1.92,1.9,4,3052M,4,3052M,26,2030,4,52,477,27,35,2750,3.2,7,3285,141,5,39,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
123,21334.8,2.57982,2508.861065,3.18001,1422.34,1.84723712876809,3.96269798861852,931,1823,1.8,26.51,20863.9,24.5333,3220,29.7278,0,1.85,1.82,3.96,2622M,3.96,2622M,8,1520,5,64,470,26,158,2860,4.1,7,2729,142,9,38,8,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
178,21259,2.58116,2508.613489,3.20175,1679.55,1.66072296853575,4.04849251443704,1160,1742,2.79,2.84,20784.5,24.6133,3390,30.4422,0,1.43,1.42,3.95,3046M,3.95,3046M,26,930,5,58,449,26,172,2900,3.7,7,3255,155,5,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
126,21215.7,2.59261,2502.974297,3.14038,1500.1,1.80816195930347,4.0471979030963,1150,1916,1.82,3.51,20735.2,24.6511,3390,32.4611,0,1.76,1.67,3.9,2777M,3.9,2777M,7,1510,5,61,449,25,167,1150,4.3,7,2539,148,6,38,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
132,20859.5,2.76661,2366.981724,3.20377,1384.92,1.67822067445582,4.09170511450741,1253,1615,1.49,3.55,20461,25,3390,31.3156,0,1.92,1.84,3.91,2877M,3.91,2877M,7,1500,5,59,461,25,160,2330,4.1,7,2553,151,7,37,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
162,21467,2.7998,2411.373648,3.22254,1587.26,1.83216877019113,4.09151093412222,1122,1931,4.2,21.56,21052.8,24.2811,3370,30.9944,0,1.89,1.87,4,2754M,4,2754M,27,1900,4,56,466,24,155,2630,4.8,7,3257,149,5,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
184,20396.1,2.93998,2228.197248,3.12942,1485.29,1.64065604079525,4.0061970799037,1213,1763,4.4,21.18,19976.3,25.63,3170,30.5389,0,2.51,2.5,3.85,3068M,3.85,3068M,26,2270,3,50,475,29,18,2630,3.4,7,3727,138,6,3,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
97,21926.8,2.38831,2975.283968,3.21364,1470.85,1.72437268935162,4.21757608185094,1130,1824,7.22,21.24,21506.8,23.7944,3390,30.0644,0,2.56,2.49,4,2374M,4,2374M,8,780,4,68,468,23,144,4160,6,7,2640,52,11,43,8,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
164,21074.2,3.06048,2260.393732,3.13552,1630.17,1.74612951509459,3.96144979417037,1303,1943,2.5,56.3,20627.8,24.8133,3190,30.2033,0,1.87,1.84,3.88,2737M,3.88,2737M,27,1990,5,53,463,22,156,2680,5,7,3580,135,5,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
155,21205.4,2.9378,2385.744582,3.18606,1509.39,1.82933950051444,4.15171675827037,1218,1789,2.3,36.14,20766.3,24.64,3390,30.8444,0,1.69,1.66,3.95,2449M,3.95,2449M,7,1680,6,53,467,25,173,2830,4.1,7,3328,140,8,38,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
189,20588.6,3.01014,2264.886722,3.14034,894.445,1.74857742910275,3.95145469406667,795,1010,1.32,18.45,20137.6,25.4156,1130,30.77,0,1.59,1.59,3.87,3027M,3.87,3027M,24,3110,4,56,479,30,27,2240,3,7,3333,143,6,42,10,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
135,20651.3,2.8113,2438.030501,3.11229,1458.81,1.67241417175176,4.07767003833704,1171,1944,2.38,22.83,20234,25.29,3410,30.9844,0,2.27,2.2,3.87,2894M,3.87,2894M,5,1430,4,54,462,25,174,1620,3.2,7,3145,141,6,36,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
196,21008.1,2.86756,2441.839373,3.12991,1458.55,1.71425433941624,4.05521184464445,1166,1678,0.96,10.69,20565,24.8878,3200,31.5167,0,1.65,1.62,3.91,2898M,3.91,2898M,24,2310,4,49,480,24,23,1020,2.5,7,3243,123,5,36,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
161,21479.7,2.89874,2473.165969,3.21992,1468.16,1.85211133583892,4.12129765351482,1116,1783,7.38,25.15,21052.8,24.3167,3410,32.3456,0,2.6,2.61,4,2750M,4,2750M,25,1810,4,56,465,24,155,3280,4.9,7,3271,153,5,33,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
134,20782.6,2.91702,2395.482259,3.14564,1474.89,1.75201305345635,4.04132347895556,1107,1851,1.61,21.13,20358.5,25.1222,3410,32.6389,0,1.78,1.71,3.9,2900M,3.9,2900M,5,1340,5,55,462,25,163,2320,4,7,3042,151,6,37,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
138,20787.7,2.86803,2440.759975,3.13592,1546.5,1.67832836545516,3.96909350392593,1069,2006,2.27,32.76,20347.6,25.16,3420,31.6444,0,2.24,2.22,3.89,2903M,3.89,2903M,5,1460,5,57,455,25,161,1650,3.2,7,3114,160,7,35,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
121,21096.6,2.49439,2851.002762,3.0755,1403.85,1.58572019296403,3.85349229398148,1262,1574,7.74,22.77,20703,24.7444,3390,30.0744,0,3.12,3.08,3.81,2835M,3.81,2835M,7,710,4,64,469,25,158,2850,5.6,7,2734,129,9,39,8,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
99,21684.8,2.52073,2937.146077,3.24648,1410.3,1.82885905060591,4.0782169315866,1101,1791,2.86,13.89,21185.4,24.1567,3390,29.6122,0,1.91,1.85,3.99,2320M,3.99,2320M,6,750,4,68,469,20,146,4160,6.9,7,2960,77,10,45,8,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
165,20811.6,2.73094,2607.815693,3.12723,1753.18,1.74591399868464,4.02130633268148,1529,1872,6.38,22.03,20407.5,25.05,3490,31.4078,0,2.19,2.06,3.88,2744M,3.88,2744M,26,2050,4,53,473,23,152,2650,4.9,7,3551,128,4,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
156,20832.3,3.05133,2349.475212,3.22169,1612.87,1.83373856513693,4.0929650634392,1300,1844,3.54,6.3,20333.5,25.1567,5100,32.9478,0,1.81,1.79,3.96,2451M,3.96,2451M,7,2120,6,47,468,27,174,2820,4,7,3448,172,8,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
120,21591.1,2.60612,2903.72973,3.20498,1425.25,1.89619748940127,4.10946890967407,1000,1741,2.49,13.13,21110.1,24.2467,3220,30.1067,0,1.87,1.82,3.96,2278M,3.96,2278M,7,670,5,64,472,25,149,2920,5.6,6,2539,149,9,38,7,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
179,21315.3,2.73707,2753.40585,3.23261,1616.66,1.89430486920413,4.0709560054037,1135,1863,3.78,13.59,20896.5,24.4789,3390,32.7911,0,1.88,1.9,4,3262M,4,3262M,26,1690,4,54,446,26,37,2730,3.8,7,3287,127,5,40,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
151,21247.8,2.62877,2877.905641,3.20056,1553.88,1.80194588726282,4.08988517816667,1113,1790,3.78,6.23,20800.5,24.6078,5100,30.7533,0,2.01,1.96,3.93,2758M,3.93,2758M,4,960,5,61,450,23,161,2950,4.2,7,3195,153,4,37,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
133,21145.9,2.56969,2930.612139,3.12524,1569.77,1.86175462650879,3.94569318108148,1235,1814,2.21,17.42,20685.3,24.7178,3390,31.05,0,1.95,1.84,3.9,2887M,3.9,2887M,7,1420,5,58,455,25,164,2360,4.1,7,3076,148,6,37,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
124,21064.4,2.45365,3074.094145,3.16921,1531.49,1.71063675640825,4.06372552164444,1045,1662,4.15,7.09,20614.5,24.8311,3100,30.1667,0,2.02,2,3.89,2607M,3.89,2607M,8,1540,5,63,461,25,167,2870,3.8,7,2562,148,7,38,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
183,21215.7,2.8909,2634.169495,3.19201,1653.04,1.87401128805217,4.1068338665037,1215,1818,1.04,15.05,20800.2,24.6,1080,29.8622,0,1.4,1.38,3.95,2958M,3.95,2958M,27,2110,4,49,478,28,39,2850,3.1,7,3452,141,5,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
137,20904.8,2.83428,2651.095655,3.18627,1408.12,1.84965257650095,4.17703287462222,1240,1736,4.14,20.07,20449.1,25.0144,3290,32.79,0,2.13,2.09,3.93,2917M,3.93,2917M,5,1420,4,57,468,25,161,1720,3.3,7,3081,158,7,35,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
146,20538.7,3.08212,2397.997551,3.03056,1655.76,1.65731590958842,3.89299390701111,1496,1910,7.22,25.13,20112,25.4589,3100,30.8467,0,2.74,2.66,3.78,2870M,3.78,2870M,5,1250,5,51,460,28,177,2430,3.5,7,3072,146,6,38,9,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
192,20809.1,2.8781,2644.038581,3.10429,814.796,1.56862560861911,3.95571216378464,632,1109,3.85,5.77,20393.5,25.0844,3390,31.3644,0,2,2,3.87,3285M,3.87,3285M,26,3050,4,53,476,30,60,2380,3,7,3172,135,5,40,10,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
167,21293.8,2.98683,2622.614613,3.22679,1455.62,1.75147389326778,4.09920217507407,1364,1797,4.37,13.12,20858.6,24.5278,3390,31.2044,0,2.09,2.07,3.99,2791M,3.99,2791M,27,1860,4,53,473,23,154,3220,5,7,3280,138,3,38,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
104,20651.2,2.65771,2862.115421,3.09488,1282.82,1.66805792211435,3.99480704904074,948,1762,3.16,16.73,20214,25.3156,3200,30.5878,0,1.95,1.91,3.84,2317M,3.84,2317M,8,1080,3,66,460,19,128,3980,5.3,7,2803,117,9,43,8,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
83,21950.3,2.35704,3433.463633,3.17532,1323.48,1.75313888954195,4.16894475943704,999,1624,1.21,9.97,21519.7,23.7567,3410,30.5189,0,2.33,2.19,3.94,2951M,3.94,2951M,5,670,5,71,487,21,134,4950,6.1,6,2308,38,9,40,7,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
