TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
136,21466,3.29279,2107.212121,3.98389,976.794,3.6809621160604,4.10951920556296,834,1212,5.39,14.8,21045,24.3,3490,31.91,0,2.11,2.15,4,4096M,4,4096M,4,1820,11,39,364,35,95,3180,6.3,8,1840,138,7,18,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
132,21439.4,3.15056,2501.281019,3.98694,896.846,3.47448025734369,4.14647679564074,782,977,5.66,36.54,21083,24.2789,3410,31.2067,0,2.72,2.6,4,4096M,4,4096M,20,2450,12,64,368,39,89,3850,8.5,3,1999,100,8,26,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
179,21397.5,3.68403,2165.157355,3.97045,983.533,3.54673005321042,4.15789730735556,748,1167,2.39,2.98,20982.9,24.3511,3410,32.9678,1936.67,1.36,1.27,4,4096M,4,4096M,4,170,10,51,450,33,54,6220,9.3,5,4286,180,3,38,4,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
57,21155.9,3.34162,2405.49645,3.94425,999.938,3.43049712873907,4.06354938784074,877,1174,6.56,18.31,20752.2,24.6578,3410,32.0756,0,2.52,2.4,4,4096M,4,4096M,8,9610,10,70,483,15,110,4150,7.4,4,1987,139,2,40,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193,21117.3,3.41921,2382.789371,3.99071,950.365,3.62414344364234,4.21456110050741,842,1149,5.83,17.49,20691.5,24.7044,3410,31.8544,0,2.07,1.95,4,4096M,4,4096M,5,1050,9,46,493,35,55,3620,9.2,6,2023,163,2,32,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
127,21337.6,3.6348,2356.864586,4.02961,921.998,3.56254169202099,4.18946093437778,771,1013,1.68,16.3,20930.8,24.4444,5100,34.2611,0,1.72,1.67,4,4096M,4,4096M,7,2080,4,63,420,37,97,4830,7.8,3,3979,104,7,28,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
185,20759.6,3.46976,2411.796028,3.9643,959.699,3.58970110574565,4.11040711076667,720,1094,1.61,9.09,20347,25.1556,3290,32.76,3641.11,1.53,1.52,4,4096M,4,4096M,2,170,10,48,450,32,61,5420,8.4,5,2078,170,3,33,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
68,20759.8,3.80115,2221.510561,4.01836,824.845,3.60221067101345,4.18729739598889,726,930,6.83,12.79,20331.9,25.1611,3410,31.9289,0,2.02,1.97,4,4096M,4,4096M,8,5540,6,52,450,30,103,7610,5.2,5,1122,43,18,38,10,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
114,21105.2,3.20936,2689.681152,3.97349,974.615,3.57813616760557,4.16908079127408,737,1187,1.44,25.79,20670.8,24.75,3410,32.77,0,1.59,1.57,4,4096M,4,4096M,5,890,12,47,417,38,200,3740,8.5,7,2010,165,9,30,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
170,21327.9,3.54997,2483.583431,3.9718,1055.06,3.44645767999036,4.11529525125185,923,1174,5.02,41.68,20880.2,24.4811,3410,32.6189,0,1.93,1.81,4,4096M,4,4096M,4,820,9,54,398,31,57,6840,10,4,4383,177,3,14,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
