INSTANCES,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_97p,RESPONSE_TIME_99p,RESPONSE_TIME_99.9p,RESPONSE_TIME_99.99p,RESPONSE_TIME_99.999p,RESPONSE_TIME_100p,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,Gcpolicy
1,18628.4,16.348,2002.802079,3.84892,85.2428,89.1064,105.011,178.935,204.299,344.153,30000,3.22819,1985.92,1.90555495414833,4.15325139667407,1943,2021,1.99,39.91,18283.3,27.97,3420,34.4578,0,1.82,1.78,4, 3072M ,4, 3072M , UseShenandoahGC 
2,19255.9,14.9238,2179.910389,3.53996,83.4536,87.2336,100.158,117.277,193.781,216.02,20238.6,3.21136,279.8,1.90474498132291,4.0446045782037,266,296,2.43,5.53,18844.6,27.1467,3270,33.7867,0,1.72,1.69,4, 3072M ,4, 3072M , UseZGC 
3,19380.9,15.6317,1966.780059,3.73461,83.7862,87.3885,100.408,118.75,196.271,20073.5,30000,3.22491,276.729,1.78567046239954,4.13607345255185,250,296,1.52,7.72,18995.3,26.9156,3390,33.0222,0,1.5,1.45,4, 3072M ,4, 3072M , UseZGC 
4,20283.1,17.7189,2269.947049,4.6701,81.019,85.4287,92.8172,114.878,179.023,20069.8,21073.7,3.22493,313.534,1.88683122689633,4.05727459878889,299,329,0.39,1.68,19846.1,25.7756,3410,30.4733,0,1.52,1.5,4, 3072M ,4, 3072M , UseSerialGC 
5,20965.3,13.6805,2404.740392,3.48114,81.3012,85.4329,90.8587,110.967,174.852,10133.1,30000,3.2173,578.606,1.77801327541681,4.14927117241852,493,603,1.89,16.73,20498.2,24.96,3190,30.7544,0,1.7,1.68,4, 3072M ,4, 3072M , UseG1GC 
6,20855.2,12.123,1809.035562,3.04707,79.6204,84.4543,89.7615,110.679,177.454,20075.4,30000,3.18583,667.628,1.6725783252463,4.01213897238549,494,903,2.21,30.72,20473.9,24.9911,3490,30.9156,0,1.88,1.84,4, 3072M ,4, 3072M , UseG1GC 
7,20348,17.4423,1894.450675,4.43591,80.6273,85.2399,92.7239,116.561,178.898,10133.8,30000,3.27655,312.857,1.72077473033367,4.21984125940741,288,330,3.8,7.84,19900.1,25.7122,3200,29.9511,0,2.13,2.1,4, 3072M ,4, 3072M , UseSerialGC 
8,19151.9,16.0761,2000.731454,3.91482,83.9542,87.5705,101.077,120.351,197.6,20072.8,30000,3.19009,279.623,1.9035959291574,4.0489583568963,268,294,3.28,32.94,18739.4,27.3044,301.99,32.5211,0,1.91,1.89,4, 3072M ,4, 3072M , UseZGC 
9,22787.4,9.8592,1905.754714,2.60115,74.2921,80.9008,87.5095,107.376,136.545,10130.2,30000,3.22741,961.555,1.86001755663773,4.12816795281852,942,982,2.61,27.55,22262.3,22.9744,3470,29.9344,0,1.98,1.95,4, 3072M ,4, 3072M , UseParallelGC 
10,19139.1,15.5105,2510.667735,3.81854,83.7713,87.4314,100.632,118.323,195.303,10144.9,30000,3.22759,277.786,1.90504300310931,4.16141340547037,265,289,2.28,10.33,18759.2,27.2667,3310,33.1611,0,1.64,1.62,4, 3072M ,4, 3072M , UseZGC 

