Trials,COMPOSITE_THRPT_PROM,COMPOSITE_THRPT_WRK,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,db_THROUGHPUT_WRK,db_RESPONSETIME_WRK,db_RESPONSETIME_MAX_WRK,db_RESPONSETIME_STDEV_WRK,db_WEB_ERRORS,db_THRPT_WRK_CI,db_RSPTIME_WRK_CIi,json_THROUGHPUT_WRK,json_RESPONSETIME_WRK,json_RESPONSETIME_MAX_WRK,json_RESPONSETIME_STDEV_WRK,json_WEB_ERRORS,json_THRPT_WRK_CI,json_RSPTIME_WRK_CIi,fortunes_THROUGHPUT_WRK,fortunes_RESPONSETIME_WRK,fortunes_RESPONSETIME_MAX_WRK,fortunes_RESPONSETIME_STDEV_WRK,fortunes_WEB_ERRORS,fortunes_THRPT_WRK_CI,fortunes_RSPTIME_WRK_CIi,plaintext_THROUGHPUT_WRK,plaintext_RESPONSETIME_WRK,plaintext_RESPONSETIME_MAX_WRK,plaintext_RESPONSETIME_STDEV_WRK,plaintext_WEB_ERRORS,plaintext_THRPT_WRK_CI,plaintext_RSPTIME_WRK_CIi,queries_THROUGHPUT_WRK,queries_RESPONSETIME_WRK,queries_RESPONSETIME_MAX_WRK,queries_RESPONSETIME_STDEV_WRK,queries_WEB_ERRORS,queries_THRPT_WRK_CI,queries_RSPTIME_WRK_CIi,updates_THROUGHPUT_WRK,updates_RESPONSETIME_WRK,updates_RESPONSETIME_MAX_WRK,updates_RESPONSETIME_STDEV_WRK,updates_WEB_ERRORS,updates_THRPT_WRK_CI,updates_RSPTIME_WRK_CIi,THROUGHPUT_DB,RSP_TIME_DB,MAX_RSP_TIME_DB,THRPT_DB_CI,RSP_TIME_DB_CI,THROUGHPUT_JSON,RSP_TIME_JSON,MAX_RSP_TIME_JSON,THRPT_JSON_CI,RSP_TIME_JSON_CI,THROUGHPUT_FORTUNES,RSP_TIME_FORTUNES,MAX_RSP_TIME_FORTUNES,THRPT_FORTUNES_CI,RSP_TIME_FORTUNES_CI,THROUGHPUT_PLAINTEXT,RSP_TIME_PLAINTEXT,MAX_RSP_TIME_PLAINTEXT,THRPT_PLAINTEXT_CI,RSP_TIME_PLAINTEXT_CI,THROUGHPUT_QUERIES,RSP_TIME_QUERIES,MAX_RSP_TIME_QUERIES,THRPT_QUERIES_CI,RSP_TIME_QUERIES_CI,THROUGHPUT_UPDATES,RSP_TIME_UPDATES,MAX_RSP_TIME_UPDATES,THRPT_UPDATES_CI,RSP_TIME_UPDATES_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation,gcpolicy,StackTraceInThrowable,checkBounds,httpiothreads,DEPLOYMENT_NAME,NAMESPACE,IMAGE_NAME
84,233789.45185,97704.4711733333,2.98919,1937.27,2.78610031383704,3.19747341323333,1876,1995,29404.6,17.3925,267.39,19.885,0,0.93,0.93,54058.9,9.46,54.79,4.27,0,4.18,4.22,17964.3,28.48,333.45,30.2025,0,2.31,2.27,56176.2,9.105,44.83,3.5125,0,4.59,4.55,5013.02,102.148,371.2,29.0525,0,1.31,1.29,4237.48,120.9,476.05,31.04,0,1.84,1.78,70224.7,2.2208,1277.372243,5.81,57.24,128395,0.448454,174.46571,30.61,16.3,42993.6,5.17119,2790.931796,14.78,22.29,133540,0.434249,178.380632,30.43,31.77,12050.6,99.7972,755.619659,7.57,9.39,10141,118.036,2306.420026,9.26,4.7,4,4096M,4,4096M,1,7590,8,39,405,27,38,8740,1,1,3257,58,18,7,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
83,232314.267333333,97090.1305983333,2.96772,1871.26,2.71026225331111,3.19182231751111,1829,1894,29742.7,17.1925,118.49,19.65,0,1.19,1.2,55505.1,9.21,63.7,4.2775,0,0.76,0.75,17954,28.47,331.35,30.63,0,0.95,0.95,57101.3,8.9525,50.33,3.46,0,0.43,0.47,4936.45,103.775,398.46,30.77,0,0.8,0.88,4176.58,122.65,476.05,32.8525,0,0.84,0.87,70743.9,2.28386,1372.586688,8.71,34.55,131358,0.447091,204.791976,2.83,29.2,42933.8,5.48807,2324.73454,2.5,26.2,135653,0.412661,149.853451,2.46,12.63,11878.7,100.252,601.99216,4.92,2.76,10008.2,118.603,2803.602649,0.3,3.66,4,4096M,4,4096M,1,7640,8,40,405,26,39,9460,2.9,1,3218,57,16,4,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
56,232159.108391667,96913.5944116667,2.97395,1484.36,2.7943826471037,3.19657826840741,1351,1616,30062.9,17.0275,266.34,19.1425,0,5.84,5.86,56100.4,9.1125,48.76,3.8625,0,2.68,2.68,17547,29.145,339.74,30.9025,0,1.84,1.85,58017.1,8.81,59.24,2.9175,0,2.82,2.82,4974.62,103.105,379.58,31.0025,0,5.96,5.92,4154.19,123.468,444.6,34.34,0,5.74,5.74,71824.7,2.18617,1603.948274,40.84,104.77,132714,0.415048,110.676088,18.28,65.92,42060.7,5.67514,2817.531328,10.88,64.62,137742,0.396468,230.432882,17.88,18.53,11955.8,98.8848,616.539479,42.38,40.1,9969.85,118.483,2800.921593,41.03,35.46,4,4096M,4,4096M,1,7000,7,44,414,15,76,9440,5.6,1,2957,112,8,9,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
80,229658.12151,95963.490945,2.97669,1409.18,2.76085113162222,3.19355001644815,1369,1434,29595.7,17.2775,253.76,19.1675,0,0.65,0.61,53653.3,9.5275,232.78,3.8925,0,2.2,2.2,17548.1,29.1475,333.45,30.4825,0,1.2,1.22,56557.9,9.035,57.67,2.8425,0,1.37,1.36,4907.79,104.39,425.72,32.9375,0,0.5,0.47,4143.14,123.642,503.32,34.475,0,0.58,0.68,70669.6,2.08407,1599.384212,1.39,117.96,127715,0.427245,224.294643,11.58,96.45,41993.7,5.24925,2310.21078,4.4,115.28,133898,0.401544,40.786282,14.3,132.81,11798.8,101.223,788.208249,2.33,7.99,9915.92,119.25,2304.997788,1.46,3.95,4,4096M,4,4096M,1,7570,8,44,404,26,42,9170,2.9,1,2532,71,15,4,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
82,228352.79695,95280.866395,2.98346,1419.32,2.71343523191111,3.19725594769259,1368,1463,29319.4,17.4425,199.23,20.015,0,0.76,0.78,55306.2,9.24,59.51,4.03,0,1.94,1.96,17695.7,28.9075,322.96,30.91,0,3.73,3.75,57155.7,8.94,52.69,3.3075,0,0.98,0.93,4819.77,106.295,419.43,31.735,0,1.34,1.35,4083.84,125.453,509.61,34.2475,0,0.98,1.09,70016.5,2.25526,1366.763192,4.58,64.95,131087,0.44195,80.054014,9.97,60.37,42372.9,6.07513,2608.192837,24.28,130.34,135368,0.448417,174.026411,8.18,96.75,11606.1,101.68,520.144955,3.34,2.58,9803.8,121.186,2489.512524,0.97,0.31,4,4096M,4,4096M,5,7590,8,40,408,25,39,8760,2.9,1,2530,60,16,4,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
78,228260.052115,95245.312835,2.97355,1439.59,2.74027807364074,3.19595549559259,1406,1463,28908.2,17.69,310.38,19.895,0,1.13,1.16,53430.5,9.5675,47.19,4.29,0,2.68,2.67,17668.6,28.9525,327.16,30.6875,0,3.11,3.13,55555.9,9.1975,48.23,3.4325,0,1.73,1.65,4837.11,105.915,425.72,30.6325,0,1.47,1.47,4118.52,124.41,473.96,32.6625,0,1.24,1.32,68940.5,2.22279,1385.226291,8.45,66.9,127036,0.447654,107.913662,18.36,4.79,42277.8,5.53163,2242.930839,22.92,177.62,131547,0.444095,194.887137,14.57,20.42,11653.6,102.73,503.076499,9.03,13.03,9881.93,120.337,2500.752091,6.99,4.01,4,4096M,4,4096M,1,7490,8,37,405,12,28,9750,1.5,1,2574,60,15,5,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
65,228234.525306667,95168.3516566667,2.97712,1498.51,2.80766073044444,3.20157241102963,1387,1643,29450.4,17.3675,109.05,19.795,0,1.29,1.26,54283.8,9.4175,58.72,4.47,0,1.58,1.54,17093.6,29.9325,499.12,31.705,0,3.84,3.9,56429.3,9.0575,49.55,3.89,0,2.65,2.67,4876.05,105.067,396.36,32.865,0,0.62,0.58,4105.33,124.785,400.56,34.4625,0,0.88,0.91,70309,2.44276,1232.100236,8.14,6.31,129083,0.461163,103.10911,10.84,123.18,40942.2,6.8121,2787.16295,17.39,22.14,134166,0.466608,96.942879,15.94,54.94,11721.2,100.807,792.540423,4.02,0.08,9866.88,120.468,2588.476569,4.81,10.05,4,4096M,4,4096M,1,7480,6,45,398,22,35,9670,2.3,2,2689,87,14,3,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
69,226558.267183333,94498.0544483333,3.00141,1863.67,2.74081663242222,3.19595836343333,1831,1885,29652.2,17.2475,253.76,19.775,0,2.63,2.61,55453.5,9.215,233.83,4.315,0,2.06,2.11,17376.4,29.465,254.8,30.945,0,5.75,6.01,57494.4,8.89,49.28,3.0225,0,1.98,2,4773.49,107.373,423.62,35.2225,0,3.48,3.49,4037.48,126.972,488.64,37.0325,0,3.3,3.37,70781.2,2.25057,1227.633682,17.33,48.02,131455,0.432581,222.525873,16.75,2.55,41486.9,5.90295,3590.87055,23.03,69.21,136118,0.41971,44.987388,13.08,15.05,11503.1,103.194,698.732879,22.93,18.48,9705.3,123.387,2499.635353,23.05,23.02,4,4096M,4,4096M,5,7360,5,47,401,14,22,9810,2,1,2191,52,13,5,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
58,226317.943933333,94513.8852433333,2.98959,1432.98,2.75912878966296,3.19592570755556,1349,1518,29030.2,17.6175,94.9,20.365,0,0.86,0.88,54359.4,9.4,61.6,4.685,0,1.21,1.21,17731,28.855,329.25,30.87,0,2.04,2.09,55541.3,9.2025,94.9,4.4225,0,1.79,1.76,4829.19,106.097,417.33,33.3175,0,1.05,1.04,4036.47,126.945,463.47,35.6875,0,0.72,0.81,69298.5,2.58635,1327.029313,3.36,114.33,129302,0.466749,1702.702371,4.67,71.95,42517.2,5.73962,3031.501529,3.84,21.3,131741,0.474762,176.736624,14.83,51.45,11614.6,102.275,591.774431,4.83,11.32,9666.9,121.791,2502.278066,3.18,8.81,4,4096M,4,4096M,1,7740,7,44,424,15,75,9310,4.9,1,2545,112,12,3,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
57,226273.2898,94546.3159416667,2.968,1417.77,2.76988326356667,3.19922662453333,1370,1463,29171.1,17.5325,242.22,19.8375,0,0.86,0.87,54684.4,9.345,58.2,3.9225,0,0.64,0.63,17629.6,29.0175,467.66,30.6425,0,1.93,1.91,56643.6,9.025,54.26,3.41,0,2.03,2.01,4794.14,106.885,480.25,34.42,0,0.92,0.91,4045.55,126.743,492.83,35.465,0,1.19,1.19,69557.3,2.29917,1903.827692,0.25,69.76,130139,0.43239,95.703968,5.89,23.41,42264.7,5.46491,2141.188384,8.16,82.68,133708,0.422731,59.33043,13.7,1.85,11540.5,102.11,485.954329,5.95,3.65,9678.1,120.97,2793.632594,11.29,11.38,4,4096M,4,4096M,1,7480,7,45,423,15,78,9500,5.1,1,2309,114,10,6,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,UseParallelGC,FALSE,FALSE,TRUE,tfb-qrh-sample,autotune-tfb,kusumach/tfb-qrh:2.9.0.F_mm
