TRIALS,THROUGHPUT,RESPONSE_TIME,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,RESPONSE_TIME_50p,RESPONSE_TIME_95p,RESPONSE_TIME_98p,RESPONSE_TIME_99p,RESPONSE_TIME_999p,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,thrpt_prom_ci,rsp_prom_ci,THROUGHPUT_wrk,RESPONSETIME_wrk,RESPONSETIME_MAX_wrk,STDEV_RESPTIME_MAX_wrk,WEB_ERRORS,thrp_wrk_ci,rsp_wrk_ci,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,maxinlinelevel,quarkustpcorethreads,quarkustpqueuesize,quarkusdatasourcejdbcminsize,quarkusdatasourcejdbcmaxsize
1,70.5,13.5,69.5,14,2942,12.0008,47.0216,63.0287,76.5292,163.577,337.652,0.187608,0.165733579593228,0.323802020322749,324,358,45.06,47.06,297.852,75.1433,633.34,49.89,4506.67,0.76,6.02,2.23,735.0M,2.23,735.0M,34,23,194,2,48
2,69.5,13.5,69.5,14,2870,11.5011,46.5137,63.0124,93.5194,234.618,359.172,0.180915,0.148034569707407,0.297229524111111,339,380,45.71,47.06,291.575,80.5733,22550,178.15,7861.67,5.32,15.62,2.13,984.0M,2.13,984.0M,38,24,240,6,44
3,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51,313.0M,2.51,313.0M,43,17,403,3,43
4,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,537.0M,3.08,537.0M,43,10,737,4,27
5,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,390.0M,2.26,390.0M,9,19,594,10,48
6,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,970.0M,1.34,970.0M,49,14,294,6,46
7,59.5,16,60.5,15.5,5741,16.0067,60.5056,104.005,145.063,412.614,344.479,0.180271,0.150096577992593,0.291771777057183,335,350,10.68,0,299.97,79.0983,1590,112.32,3568.33,0.9,9.6,2.54,958.0M,2.54,958.0M,39,17,637,3,36
8,69,14,68.5,13.5,3587,13.0002,46.0058,62.0129,77.0371,148.537,391.423,0.150748,0.118065549296296,0.286501028385185,372,402,36.83,0,294.987,76.1983,637.53,51.17,3630,3.74,12.94,2.44,845.0M,2.44,845.0M,25,22,985,8,38
9,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,462.0M,2.97,462.0M,18,21,774,10,23
10,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,721.0M,2.15,721.0M,29,9,891,8,32
11,89.5,11,78.5,12,5925,8.50278,40.5171,59.0147,74.5139,181.534,355.897,0.177143,0.1454673727167,0.286688094789942,344,364,205.85,231.02,248.078,61.6983,780.14,65.47,7323.33,51.43,52.71,1.54,673.0M,1.54,673.0M,20,4,37,2,41
12,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,674.0M,1.5,674.0M,19,3,22,2,40
13,37,26,125,7,768,5.0007,33.0132,49.0204,62.0293,129.04,345.415,0.139504,0.001728301362963,.4140525019407408  4,420,0,0,,292.477,66.68,2370,80.89,6303.33,11.92,33.65,1.7,825.0M,1.7,825.0M,12,3,15,2,48
14,199.5,12.5,194.5,13,4112,4.5015,28.5117,96.0507,216.113,487.735,339.75,0.18941,0.1620268724,0.3236731899,319,363,1009.47,1067.3,298.14,61.3733,2400,191.99,2756.67,0.98,30.99,1.04,578.0M,1.04,578.0M,32,7,159,4,41
15,235,4,228,4,3869,2.00038,22.0032,46.5137,81.5427,147.095,340.318,0.183618,0.152272018433333,0.296441467588889,319,348,21.63,0,298.132,52.3467,989.86,67.74,7316.67,0.79,14.25,1,560.0M,1,560.0M,24,7,116,4,33
16,270,3,266,3,6500,1.50016,15.5028,24.5018,32.022,76.5455,331.384,0.195472,0.158635960614815,0.320625790376823,320,343,4.71,0,299.245,53.8217,583.01,43.3,4275,1.25,9.3,1.09,585.0M,1.09,585.0M,22,6,15,5,32
17,174.5,5.5,166,6,5173,2.00038,32.5135,92.5527,129.515,228.655,339.884,0.202435,0.160565464251852,0.341897786607407,327,348,112.86,115.51,249.017,49.9583,650.12,44.41,7246.67,51.43,51.53,1.01,549.0M,1.01,549.0M,25,6,390,5,32
18,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,442.0M,1.13,442.0M,14,11,103,7,28
19,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,599.0M,1.76,599.0M,25,6,331,5,28
20,36,27,2,355,4290,645.333,1014.43,1097.79,1105.13,1245.64,183.357,0.162497,0.032831330721007,0.343863223622222,0,358,0,0,300.858,532.88,11610,57.61,81615,0.68,154.05,1.27,324.0M,1.27,324.0M,28,13,488,4,21
21,77.5,12.5,80,12,4530,8.00307,39.0098,55.5249,67.5343,126.517,349.035,0.194096,0.158136594651151,0.293426544790243,332,370,40.99,50.82,299.252,75.44,792.72,59.53,4806.67,0.71,8.63,1.85,484.0M,1.85,484.0M,21,8,113,5,34
22,240.5,3.5,244.5,3.5,3943,2.00038,19.5046,32.5217,46.5137,96.0425,341.757,0.191659,0.1538142088,0.334654813192593,336,350,55.47,181.51,300.467,55.755,796.92,56.55,4455,0.65,3.25,1.03,542.0M,1.03,542.0M,25,5,408,5,31
23,187,5,169,6,3601,2.00038,17.5058,29.0074,41.025,146.046,343.172,0.189443,0.161736873844444,0.311493063314346,321,375,258.2,254.12,299.19,58.68,1610,121.02,4665,0.51,21.39,1.22,625.0M,1.22,625.0M,15,5,524,7,31
24,52.5,21.5,49.5,23,4602,9.50221,70.5162,441.188,598.212,1141.11,322.947,0.224026,0.163490176522222,0.346255416289509,296,350,471.94,502.33,298.96,78.0733,2260,163.11,3851.67,0.69,13.87,1.06,525.0M,1.06,525.0M,23,12,249,5,25
25,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,395.0M,1.5,395.0M,28,8,84,3,35
26,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,753.0M,1.35,753.0M,17,3,383,4,30
27,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,501.0M,1,501.0M,22,5,5,6,37
28,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,634.0M,1.89,634.0M,33,9,178,7,33
29,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,403.0M,1.17,403.0M,26,7,470,5,30
30,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,753.0M,1.42,753.0M,31,5,198,3,26
31,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,591.0M,1.62,591.0M,35,15,271,4,29
32,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,626.0M,1.24,626.0M,13,4,593,7,31
33,98.5,12,96.5,12.5,3737,7.50029,51.0193,120.553,271.581,948.961,346.479,0.190216,0.1582121036,0.293902023087948,330,376,586.93,635.3,297.913,64.1433,763.36,47.26,2465,0.53,18.15,1.17,690.0M,1.17,690.0M,16,5,676,8,34
34,203.5,4.5,219.5,4,5300,2.00038,21.5035,38.0268,55.017,140.05,345.215,0.201748,0.160843248062963,0.316074124877778,319,365,103.02,141.18,0,0,0,0,0,0,0,1.01,556.0M,1.01,556.0M,11,7,450,6,31
35,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,574.0M,1.02,574.0M,10,10,328,6,24
36,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,503.0M,1.1,503.0M,23,7,443,5,33
37,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,346.0M,1,346.0M,35,9,551,6,36
38,75,13,76,12.5,3378,10.5016,45.0063,59.0147,72.0236,129.531,334.007,0.192169,0.151690227545953,0.293353341946499,328,339,84.71,97.74,298.983,65.415,654.31,43.46,3686.67,0.74,7.28,1.36,434.0M,1.36,434.0M,27,6,444,6,38
39,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,541.0M,2.72,541.0M,9,11,340,4,27
40,56,17,52,19,2780,2.00038,82.0506,490.209,681.05,1479.54,333.406,0.194616,0.131839465559769,0.30868036430844,293,354,0,0,297.937,68.135,1910,134.38,0,1.08,13.44,1.27,480.0M,1.27,480.0M,41,8,230,5,29
41,63,16,61.5,16.5,4263,8.50074,55.017,225.607,437.026,638.058,361.222,0.193976,0.163350763751852,0.326599497688889,341,383,282.36,317.65,299.1,70.585,1720,113.71,2105,0.89,5.36,2,550.0M,2,550.0M,30,4,769,3,35
42,84.5,11.5,84.5,11.5,4997,8.50278,46.0058,76.5128,134.578,227.573,343.704,0.139921,0.076218987770506,0.276167163594547,328,365,52.63,55.24,299.392,63.5967,1020,70.87,2641.67,0.82,5.69,1.21,614.0M,1.21,614.0M,15,6,553,7,31
43,188.5,6,178.5,6.5,5651,5.50144,31.5141,49.5119,72.5315,195.035,341.451,0.183291,0.15489854007259,0.2855566855,317,360,589.8,635.3,300.922,52.195,574.62,37.24,1843.33,0.8,15.24,1.14,714.0M,1.14,714.0M,11,4,537,7,31
44,96,10,91,10.5,3307,8.50278,39.5177,58.0152,76.0212,223.15,277.067,0.17833,0.135240023450717,0.300733401235574,0,354,39.71,0,298.262,60.175,553.65,44.63,4966.67,0.8,11.1,1.43,653.0M,1.43,653.0M,20,5,662,9,32
45,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,569.0M,1.3,569.0M,18,7,612,6,30
46,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,524.0M,1.11,524.0M,24,3,719,6,33
47,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,660.0M,1,660.0M,50,10,425,4,35
48,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,621.0M,2.34,621.0M,21,8,524,5,27
49,55.5,17.5,243.5,9.5,4830,4.50099,43.5154,190.627,435.126,758.022,276.14,0.209486,0.108950311477778,0.277627231755556,175,335,57.23,36.3,296.848,59.9,2870,141.21,3748.33,0.96,26.63,1.6,460.0M,1.6,460.0M,15,6,371,8,38
50,134.5,6.5,140.5,6.5,4614,4.00128,27.5,36.5194,44.0069,73.5309,342.705,0.180364,0.15864663557037,0.311053792737037,327,358,70.85,97.74,299.262,54.7833,947.91,52.31,5516.67,0.65,5.79,1.41,803.0M,1.41,803.0M,18,4,60,7,29
51,348.5,2.5,330.5,2.5,3509,0.999936,14.5034,27.5082,41.025,127.533,327.155,0.182642,0.155290159025926,0.295718208433333,317,335,82.03,254.12,300.062,45.535,918.55,49.79,4310,0.75,8.74,1.2,701.0M,1.2,701.0M,12,9,975,8,33
52,360.5,2,357.5,2,4238,0.999936,14.0037,25.0015,37.5188,120.029,342.786,0.180469,0.155612725403704,0.291022070451852,332,353,29.96,0,295.482,42.3867,943.72,45.16,4245,3.07,11.83,1.21,691.0M,1.21,691.0M,13,7,820,9,33
53,427.5,2,421,2,4599,0.999936,9.0025,15.0031,20.5041,57.0158,335.55,0.191545,0.165294055403704,0.294028762811111,328,343,34.18,0,296.108,40.675,905.97,45.74,3975,3.28,10.25,1.06,702.0M,1.06,702.0M,12,9,989,9,33
54,99999,99999,99999,99999,99999,999999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,890.0M,3.18,890.0M,13,9,982,10,33
55,72,13,78,12,3234,5.0007,39.0262,118.03,199.098,482.082,259.089,0.0989436,0.003824551681481,0.278480110822222,124,398,0,0,300.403,52.3,855.64,60.83,0,1.02,16.98,1.09,774.0M,1.09,774.0M,9,10,867,9,36
56,75,16.5,73,16.5,5084,7.0016,179.519,398.016,492.208,811.991,371.606,0.192061,0.16398912849222,.3086819359407408  337,396,576.01,577.55,,298.658,61.38,1820,125.38,2243.33,0.77,15.11,1.3,687.0M,1.3,687.0M,19,11,942,9,34
57,107.5,9,112,8.5,4047,6.00013,32.5217,45.5142,56.5079,123.011,344.693,0.189291,0.166431757007511,0.302845862646622,330,361,5.91,0,298.917,56.28,985.66,48.03,2340,0.65,8.48,1.16,715.0M,1.16,715.0M,12,13,840,9,40
58,125.5,7.5,131.5,7.5,3767,4.50099,28.0079,37.5188,45.0227,95.0595,367.666,0.18863,0.15448897692963,0.302100543883432,347,397,96.18,84.71,300.918,54.0417,989.86,60.41,2565,1.03,6.9,1.49,886.0M,1.49,886.0M,26,24,923,10,32
