TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,MEM_USAGE,CPU_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRP_PROM_CI,RSP_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,STDEV_RESPTIME_MAX_WRK,WEB_ERRORS,THRP_WRK_CI,RSP_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,MAXINLINELEVEL,QRKS_TP_CORETHREADS, QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE
1,208.244,11.4,5964.226203,368.001,0.109175,0.092553000192595,0.124137188411111,348,377,3.64,5.96,199.827,52.2353,7580,924.03,0,0.8,32.18,2.88,671M,2.88,671M,47,3,377,7,25
2,208.938,14.4,8757.023492,328.492,0.117445,0.100653525537037,0.13161462817037,322,335,0.91,26.99,199.601,45.744,1120,68.41,0,0.53,8.5,1.03,492M,1.03,492M,44,17,869,9,35
3,99999,99999,99999,99999,99999,99999,99999,99999,0,0,,99999,99999,99999,9999,0,0,,1.9,292M,1.9,292M,29,19,956,6,42
4,208.191,10.8,9670.557764,322.189,0.122513,0.105148018186061,0.134402982044444,316,330,1.93,42.55,199.778,42.958,1330,53.12,0,0.51,7.62,1.27,371M,1.27,371M,9,18,294,3,38
5,209.552,10.2,6570.337097,345.929,0.113158,0.106530056177778,0.120962312567594,333,371,0.52,43.37,198.831,33.7027,1190,46.1,0,0.5,9.86,1.31,648M,1.31,648M,44,22,950,8,36
6,206.789,8.8,5370.234554,350.272,0.116587,0.105165032800243,0.127100570218519,325,363,4.99,43.94,199.735,44.8847,6910,850.1,0,0.3,51.37,2.79,625M,2.79,625M,39,20,574,6,29
7,99999,99999,99999,99999,99999,99999,99999,99999,0,0,,99999,99999,99999,9999,0,0,,1.34,277M,1.34,277M,13,22,875,10,46
8,210.901,9.4,5664.713754,391.568,0.111894,0.100842356607407,0.130009226846965,379,415,0.59,23.99,200.157,39.958,6980,857.69,0,0.48,43.29,1.41,768M,1.41,768M,37,10,423,2,21
9,209.784,7.6,8110.636542,347.784,0.113187,0.105135257843489,0.119809195811111,340,353,0.25,14.61,200.068,30.6127,526.39,30.74,0,0.44,6.31,2.13,589M,2.13,589M,39,10,449,7,40
10,99999,99999,99999,99999,99999,99999,99999,99999,0,0,,99999,99999,99999,9999,0,0,,2.47,320M,2.47,320M,34,12,127,5,42
11,206.201,7.6,6812.667514,398.092,0.112951,0.103248548344444,0.126380824637037,372,431,4.13,14.61,200.772,39.4313,6880,853.14,0,0.4,42.01,2.03,1024M,2.03,1024M,23,7,624,4,48
