TRIALS,THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
25,20209.3,3.33356,3493.772954,1.55405,1103.06,0.88899905272253,1.91659912004074,976,1350,7.79,2.06,19739.2,25.9344,518,37.4389,0,2.73,2.71,1.8900000000000001,2415M,1.89,2415M,9,3150,6,37,423,26,87,4406,12.6,4,2329,84,13,38,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
43,21554.4,3.50618,23091.276194,1.58266,1153.6,0.834790403260106,1.98064296844815,940,1204,12.38,38.41,21064.9,24.3156,1590,37.7989,0,3.68,3.75,1.94,1402M,1.94,1402M,9,1648,5,33,410,12,170,2108,12.96,2,2331,192,11,31,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
42,20810.4,3.50887,26860.397722,1.56454,1163.21,0.925003104918749,1.96076897047778,890,1235,16.25,72.27,21118.6,24.24,910.16,35.5367,0,2.79,2.78,1.94,1441M,1.94,1441M,9,1692,5,35,426,14,160,1900,12.94,2,2323,188,11,7,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
99,22884.2,3.59224,3003.910854,1.62798,1022.56,0.91587056021015,2.06096393622593,756,1288,7.88,51.78,22416,22.7367,1160,35.0267,0,3.07,2.48,1.99,2996M,1.99,2996M,10,2850,6,40,371,12,111,7001,13.35,2,646,95,10,38,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,21220.1,3.6064,60070.330955,1.59056,1080.31,0.938963207400054,2.01169827624444,835,1138,8.67,68.32,20770.6,24.6567,998.24,35.7611,0,3.31,3.31,1.94,1331M,1.94,1331M,12,3785,6,37,434,17,111,5393,14.71,2,1962,113,10,31,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
86,22064.8,3.68025,46319.869404,1.58202,1232.04,0.954080673533208,2.04603441837037,867,1491,5.49,3.74,21640.5,23.5989,1250,37.4756,0,2.43,2.27,1.94,2055M,1.94,2055M,7,1554,6,38,388,22,193,5391,14.26,2,1967,92,12,6,4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
52,20588,3.68904,17824.758051,1.55615,1227.21,0.942461489259724,1.96802912191816,910,1358,8.75,28.87,20191.1,25.3544,704.64,38.1744,0,3.15,3.15,1.8900000000000001,1610M,1.89,1610M,9,827,5,38,402,12,167,2242,12.41,2,2271,186,10,34,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
82,22488.9,3.80023,25382.810948,1.5848,1278.71,0.889374484024919,1.99187810194445,906,1561,8.67,32.29,21921,23.3678,696.25,37.0744,0,3.86,3.79,1.96,1998M,1.96,1998M,7,2237,6,38,396,23,175,4998,12.68,2,2037,156,12,9,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
94,22208.9,3.84463,23994.290744,1.5774,1146.06,0.857065769599356,1.96311263897407,726,1433,10.15,44.65,21734.3,23.5633,1430,37.1611,0,3.63,3.66,1.9500000000000002,1766M,1.95,1766M,7,2091,6,37,370,19,94,5722,14.61,2,2452,111,11,31,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
89,20657.1,4.00083,30128.868436,1.48245,1214.66,0.829098202390308,1.87562653682963,770,1616,4.94,50.09,20298.5,25.2011,522.19,38.2844,0,2.52,2.52,1.81,2092M,1.81,2092M,9,2564,5,38,381,18,193,5287,12.85,2,2004,94,15,34,4,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
98,21782.9,4.06821,3601.552537,1.58307,1111.31,0.913277395878171,1.97029558567778,826,1372,4.86,50.09,21328.2,23.9956,522.19,36.3522,0,2.67,2.66,1.9500000000000002,2590M,1.95,2590M,10,1695,6,40,402,13,78,5831,11.23,2,2584,94,10,38,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
63,21015,4.07161,19531.411542,1.56624,1176.31,0.884535156876341,1.97867866833788,926,1243,15.56,11.66,20625.3,24.8022,1160,37.5844,0,4.77,5.05,1.92,1446M,1.92,1446M,6,2273,6,38,387,19,174,3265,13.76,2,1999,113,13,7,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
44,21228.3,4.07381,20024.606833,1.57288,1172.01,0.861506261371025,2.04150415687037,911,1216,12.22,76.96,20716.4,24.7344,1110,36.3578,0,3.87,3.88,1.9500000000000002,1455M,1.95,1455M,8,1645,6,33,410,16,178,1187,12.62,2,2352,208,11,22,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
84,19845.4,4.16207,67678.980059,1.47452,1274.47,0.559096901047608,2.03408982803333,838,1668,53.94,44.51,19350.3,20.8878,704.64,35.4337,0,28.93,28.93,1.98,2218M,1.98,2218M,7,785,6,38,411,25,162,5986,2.52,2,1733,155,12,12,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
60,21493.6,4.20597,85546.338515,1.60432,1277.74,0.90097927445836,2.03141862454074,933,1380,8.85,24.58,21113.6,24.2422,2300,36.5578,0,3.01,2.98,1.97,1641M,1.97,1641M,11,846,6,33,407,26,164,9057,4.03,2,2304,186,9,23,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
56,21608.5,4.21125,57073.679624,1.59217,1285.93,1.03696128324768,2.02155737125185,938,1540,3.48,44.36,21216.5,24.0778,1070,37.6833,0,2.54,2.63,1.96,1947M,1.96,1947M,6,2308,6,39,376,22,176,3317,13.14,2,2084,138,13,7,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
96,20377.5,4.28031,18078.473601,1.53466,1129.25,0.901540334997542,1.88924875283704,801,1460,10.81,24.57,19996.4,25.6078,1490,38.9044,0,4.03,4,1.8399999999999999,1800M,1.84,1800M,7,2412,5,38,351,21,94,4431,14.73,2,1844,118,11,34,2,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
76,22371.7,4.30841,62632.233132,1.61587,1090.82,0.895349245412455,2.08165728895926,805,1147,5.27,35.43,21985.3,23.1911,1100,36.0889,0,2.26,2.53,2.0,1274M,2,1274M,10,881,6,31,326,32,164,1901,6.91,2,2772,199,3,16,2,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
95,21533.2,4.35783,21311.17796,1.53959,1161.85,0.951360870280842,1.95023592467407,854,1472,13.86,60.92,21038.3,24.3644,805.31,36.4078,0,4.24,4.43,1.9,1993M,1.9,1993M,6,2195,4,37,375,19,104,6182,14.21,2,2447,112,12,31,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
100,20870.4,4.37285,3685.596593,1.62448,904.267,0.913188117211111,2.11855802379259,790,1279,12.69,72.63,20458.9,25.0533,713.03,37.1956,0,4.06,4.17,1.99,3349M,1.99,3349M,9,3560,5,40,371,12,112,7084,14.39,2,630,62,10,41,2,4,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
29,18884.9,4.39689,3215.607182,1.52251,1294.68,0.920378691174536,1.95285240318889,1022,1631,7.47,63.3,18796.1,27.0867,3200,38.8833,0,2.92,3.5,1.8900000000000001,3687M,1.89,3687M,12,819,4,38,404,12,193,6502,12.25,2,2372,151,9,35,5,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
74,20901.4,4.46241,71926.923697,1.56539,1283.97,0.796736052056349,1.97550661984815,916,1698,6.89,55.36,20522.1,24.9444,1610,36.88,394.444,2.73,2.71,1.9100000000000001,2287M,1.91,2287M,9,286,6,36,405,25,149,3981,5.35,2,2362,98,10,15,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
34,18964.6,4.48131,3708.143076,1.53269,809.937,0.925750122988936,1.88444926211852,771,853,5.22,20.99,18559.9,27.57,515.9,38.3867,0,2.29,2.26,1.8599999999999999,2122M,1.86,2122M,12,2711,5,36,428,13,103,5627,13.19,2,2843,180,10,32,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
54,19416,4.50073,30113.871427,1.55548,1042.3,0.828816417861281,1.95922087964815,811,1064,10.11,53.17,19601,26.1,1490,36.7689,83.3333,1.8,1.78,1.9300000000000002,1195M,1.93,1195M,11,439,6,39,397,18,141,2163,12.5,2,2627,169,10,31,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
67,19765.9,4.5245,50116.512293,1.50105,1264.11,0.893270901587601,1.86610823212963,973,1398,9.92,45.48,20009,25.5911,2320,38.1267,0,3.52,3.56,1.8599999999999999,1726M,1.86,1726M,1,1992,6,37,402,16,172,2911,14.55,2,1805,62,10,3,6,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
79,19864.9,4.53839,23941.990523,1.46694,1174.44,0.906129093810868,1.82595044717407,847,1502,8.9,49.45,19760.4,25.9011,522.19,37.6033,0,2.88,2.91,1.82,2493M,1.82,2493M,6,2539,4,39,360,19,194,4292,13.24,2,2107,37,16,5,4,4,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
77,19505,4.55414,24313.581714,1.52432,1240.46,0.858865587879656,1.92965141441164,841,1445,9.49,28.63,19746.3,24.5256,1100,38.1433,0,3.6,12.98,1.88,1703M,1.88,1703M,13,3469,5,37,392,13,155,4661,13.73,2,2548,175,8,19,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
88,20365,4.58015,15499.004045,1.56462,1238.2,0.894919531817613,2.03245738964583,901,1725,8.66,30.67,20271.8,25.2356,612.37,37.9522,0,2.42,2.42,1.9100000000000001,2382M,1.91,2382M,7,2915,6,37,394,22,186,4869,13.83,2,1453,90,11,8,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
15,19314.6,4.60373,3291.551373,1.61865,810.745,0.928904239108203,2.03559953210741,732,995,15.71,74.27,18941.5,27.1,583.01,38.7767,0,4.88,4.98,1.98,1746M,1.98,1746M,10,2011,5,35,364,14,38,3651,11.02,3,4342,158,14,4,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
91,19591.9,4.66234,23732.089282,1.46643,1143.94,0.786298488040741,1.8498467164037,1001,1387,14.77,63.77,19185.8,26.7289,595.59,38.53,0,4.68,4.62,1.81,2119M,1.81,2119M,9,2616,5,36,431,15,196,5565,12.66,4,2174,83,10,34,3,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
53,19837.1,4.66381,15306.064309,1.49082,1169.81,0.82894332343948,1.91549336518889,852,1268,10.56,54.17,19450.5,26.3589,2110,38.9056,0,4.4,4.39,1.8399999999999999,1598M,1.84,1598M,9,1751,5,34,420,11,166,1418,13.65,2,2330,188,11,33,4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
73,21058.3,4.6675,59210.046949,1.58097,1209.38,0.890267210954688,1.98097011015926,927,1248,9.46,54.94,20614,24.83,2520,37.6967,15.5556,3.01,3,1.97,1476M,1.97,1476M,11,646,6,30,416,29,168,9282,3.61,2,2496,167,9,23,4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
83,20329.8,4.71183,66975.314536,1.52416,1237.95,0.882387985795195,2.00399417504815,903,1339,13.43,61.87,19933,25.7111,1360,38.0733,0,4.43,4.5,1.8900000000000001,1651M,1.89,1651M,7,1101,6,36,399,28,171,5133,12.44,2,2378,115,11,9,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
32,19297.7,4.8499,3186.350114,1.56782,793.194,0.887956562785506,1.98500947091852,695,888,3.04,24.41,18890.2,27.0978,591.4,38.7589,0,2.76,2.74,1.9,2312M,1.9,2312M,10,2060,4,29,410,20,76,6404,11.85,2,2443,176,9,27,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
33,19614.3,4.9377,3803.796471,1.55181,953.655,0.852642057215557,1.97541170355926,861,1221,9.69,49.27,19172.3,26.2311,520.09,37.8011,0,3.41,5.57,1.9100000000000001,2328M,1.91,2328M,7,1199,4,29,380,21,80,6304,13.46,2,2473,176,9,39,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
55,19858.7,4.9479,21962.223812,1.51859,1212.44,0.883604227813298,1.95289868558148,951,1335,7.53,52.37,19442,26.3344,608.17,38.2511,0,3.19,3.14,1.88,1621M,1.88,1621M,8,1159,5,35,414,9,156,2762,11.7,2,3056,202,12,37,6,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
49,19772.9,4.98191,15507.073085,1.44379,1291.16,0.908453355033731,1.83909416503333,891,1548,8.22,12.92,17184.9,23.5489,901.78,39.54,0,29.05,29.04,1.78,1911M,1.78,1911M,7,2466,1,26,388,10,161,1673,12.74,2,2118,89,11,25,4,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
39,18777.8,5.09277,3596.949472,1.56893,1237.7,0.878052626318662,1.98321029335556,1082,1458,12.07,43.61,18387.1,27.1567,801.11,38.4833,0,3.86,7.67,1.92,2557M,1.92,2557M,12,6444,6,37,470,9,133,7365,13.26,1,2165,47,11,36,7,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
38,17576,5.13294,14124.426902,1.3563,987.892,0.768710160615277,1.74867052455398,836,1031,13.63,31.78,17211.9,29.7856,1710,40.1989,0,4.04,4.05,1.7000000000000002,1145M,1.7,1145M,16,5460,6,33,449,12,126,5136,15,2,2811,147,10,26,6,4,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
7,18123.3,5.19886,4399.401902,1.46949,717.546,0.923885031228263,1.88993747001111,600,1088,3.67,30.06,17734.6,28.8689,513.8,40.07,0,2.7,2.66,1.81,3046M,1.81,3046M,10,2046,4,30,413,19,32,6709,10.97,3,4599,91,5,29,1,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22,16671,5.28201,4089.090738,1.46084,787.751,0.825299397624023,1.86808751719259,602,927,9.44,55.43,14448.3,28.0244,708.84,41.4162,0,29.07,29.06,1.78,1757M,1.78,1757M,5,4630,5,37,424,24,51,2955,11.36,4,3168,230,20,19,2,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
72,20415.1,5.29613,12384.863561,1.59044,1252.83,0.970790111108078,2.01236071224074,907,1372,19.53,91.64,20034.2,25.6511,801.11,38.4789,0,5.9,5.92,1.97,1656M,1.97,1656M,11,1292,6,33,407,26,164,8682,1.91,2,2308,192,9,21,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
17,17121.3,5.40988,10089.716152,1.4729,893.468,0.880630417846137,1.83407787572963,861,1015,5.4,47.32,16685.5,29.48,1400,41.2389,0,2.81,9.45,1.8,1797M,1.8,1797M,5,4298,5,35,420,24,48,3202,11.39,4,3162,215,20,18,2,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
