INSTANCES, THROUGHPUT_RATE_3m,RESPONSE_TIME_RATE_3m,MAX_RESPONSE_TIME,CPU_USAGE,MEM_USAGE,CPU_MIN,CPU_MAX,MEM_MIN,MEM_MAX,THRPT_PROM_CI,RSPTIME_PROM_CI,THROUGHPUT_WRK,RESPONSETIME_WRK,RESPONSETIME_MAX_WRK,RESPONSETIME_STDEV_WRK,WEB_ERRORS,THRPT_WRK_CI,RSPTIME_WRK_CI,CPU_REQ,MEM_REQ,CPU_LIM,MEM_LIM,QRKS_TP_CORETHREADS,QRKS_TP_QUEUESIZE,QRKS_DS_JDBC_MINSIZE,QRKS_DS_JDBC_MAXSIZE,FreqInlineSize,MaxInlineLevel,MinInliningThreshold,CompileThreshold,CompileThresholdScaling,ConcGCThreads,InlineSmallCode,LoopUnrollLimit,LoopUnrollMin ,MinSurvivorRatio,NewRatio,TieredStopAtLevel,TieredCompilation,AllowParallelDefineClass,AllowVectorizeOnDemand,AlwaysCompileLoopMethods,AlwaysPreTouch,AlwaysTenure,BackgroundCompilation,DoEscapeAnalysis,UseInlineCaches,UseLoopPredicate,UseStringDeduplication,UseSuperWord,UseTypeSpeculation
1,22453.3,3.53468,4098.035541,1.62622,961.827,0.955585133986571,2.05032862332222,806,1267,9.1,28.4,21997.3,23.2333,1150,36.6978,0,3.33,3.24,1.99,2996M,1.99,2996M,10,2850,6,40,371,12,111,7001,13.35,2,646,95,10,38,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,23076.4,3.72898,3698.485482,1.632,903.353,0.953881540257051,2.03752561457778,737,963,5.86,17.03,22566.5,22.6867,520.09,35.2678,0,2.12,2.08,1.99,2996M,1.99,2996M,10,2850,6,40,371,12,111,7001,13.35,2,646,95,10,38,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1,22262.9,3.84662,3388.922259,1.61458,908.956,0.96118876811314,2.05829905862963,750,1269,6.68,60.27,21840.4,23.4533,2110,35.33,0,2.52,2.49,1.99,2996M,1.99,2996M,10,2850,6,40,371,12,111,7001,13.35,2,646,95,10,38,3,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19546.8,4.36622,3392.6499,1.52935,1116.5,0.860026713825926,1.92640051425926,849,1315,5.06,42.67,19147.8,26.6,3220,38.7256,0,2.08,2.52,1.8900000000000001,2415M,1.89,2415M,9,3150,6,37,423,26,87,4406,12.6,4,2329,84,13,38,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1,19950.5,5.31141,3504.201382,1.5323,1100.74,0.930835952101786,1.98041754228519,873,1239,12.13,42.48,19556.1,26.2144,513.8,37.9389,0,3.77,3.66,1.8900000000000001,2415M,1.89,2415M,9,3150,6,37,423,26,87,4406,12.6,4,2329,84,13,38,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20380.8,5.27144,29155.556937,1.56324,1171.88,0.88556258179897,1.98609004985556,953,1219,24.87,56.8,19842.3,25.9522,1120,37.5689,0,6.66,7.07,1.94,1402M,1.94,1402M,9,1648,5,33,410,12,170,2108,12.96,2,2331,192,11,31,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
1,21885,3.84858,24754.257775,1.28335,1046.94,0,2.032066642,0,1229,1.42,23.78,21435.5,23.8611,704.64,36.9144,0,2.31,2.32,1.94,1402M,1.94,1402M,9,1648,5,33,410,12,170,2108,12.96,2,2331,192,11,31,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14272.2,4.48519,23450.402966,1.06626,781.84,0.001317835985185,1.94741381259259,131,1148,215.18,13.67,14011.8,16.2233,1300,37.72,0,57.7,57.7,1.94,1331M,1.94,1331M,12,3785,6,37,434,17,111,5393,14.71,2,1962,113,10,31,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21090.8,4.94404,24236.796632,1.44367,1157.36,0.512746733250752,1.94961281288889,628,1249,4.44,24.15,20764.3,24.6411,2200,37.5967,0,2.38,2.33,1.94,1441M,1.94,1441M,9,1692,5,35,426,14,160,1900,12.94,2,2323,188,11,7,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21455.8,4.83545,29962.448026,1.59793,1303.87,0.988835868400036,2.02953637014074,928,1578,10.89,36.15,21071.1,24.3433,696.25,36.8856,0,4.02,4.12,1.96,1998M,1.96,1998M,7,2237,6,38,396,23,175,4998,12.68,2,2037,156,12,9,5,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE

